gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedMedia	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
895007006																										SANT:SANT-Algae:27081-A																														http://biocol.org/urn:lsid:biocol.org:col:14309			SANT	SANT-Algae			PreservedSpecimen				SANT:SANT-Algae:27081-A	27081		R.M. Blanco, P. Ríos, P. Quintas & M. Domínguez																													2003-05-21				2003	5	21		Submareal (5 m)															ES	C			A Coruña: Ría de Arosa, Aguiño, Ribeira	A Coruña: Ría de Arosa, Aguiño, Ribeira																																																																	Heterosiphonia japonica Yendo								Plantae				Dasyaceae	Heterosiphonia											
895007005																										SANT:SANT-Algae:28279-A																														http://biocol.org/urn:lsid:biocol.org:col:14309			SANT	SANT-Algae			PreservedSpecimen				SANT:SANT-Algae:28279-A	28279		I. Bárbara & V. Peña																													2008-05-20				2008	5	20		Submareal (20 m) en fondo de maërl y cascajo															ES	C			Pontevedra: Faro de Piedra Seca, Illa de Arousa, Ría de Arousa	Pontevedra: Faro de Piedra Seca, Illa de Arousa, Ría de Arousa																																																																	Heterosiphonia japonica Yendo								Plantae				Dasyaceae	Heterosiphonia											
895007004																										SANT:SANT-Algae:22195-A																														http://biocol.org/urn:lsid:biocol.org:col:14309			SANT	SANT-Algae			PreservedSpecimen				SANT:SANT-Algae:22195-A	22195		V. Peña & I. Bárbara																													2007-07-01				2007	7	1		Submareal (-10 m) sobre maërl y cascajo															ES	C			A Coruña: Palmeira, Riveira, Ría de Arousa	A Coruña: Palmeira, Riveira, Ría de Arousa																																																																	Heterosiphonia japonica Yendo								Plantae				Dasyaceae	Heterosiphonia											
895007003																										SANT:SANT-Algae:21490-A																														http://biocol.org/urn:lsid:biocol.org:col:14309			SANT	SANT-Algae			PreservedSpecimen				SANT:SANT-Algae:21490-A	21490		V. Peña & I. Bárbara																													2006-06-14				2006	6	14		Submareal (-4m) en fondo de maërl															ES	PO			Pontevedra: Oeste de Con de Pego, Cangas, Ría de Vigo	Pontevedra: Oeste de Con de Pego, Cangas, Ría de Vigo																																																																	Heterosiphonia japonica Yendo								Plantae				Dasyaceae	Heterosiphonia											
895007002																										SANT:SANT-Algae:21607-A																														http://biocol.org/urn:lsid:biocol.org:col:14309			SANT	SANT-Algae			PreservedSpecimen				SANT:SANT-Algae:21607-A	21607		V. Peña, I. Bárbara & A. Suárez																													2008-05-20				2008	5	20		Subtidal (-14m) in maërl bed															ES	PO			Pontevedra: Faro de Piedra Seca, Illa de Arousa, Ría de Arousa	Pontevedra: Faro de Piedra Seca, Illa de Arousa, Ría de Arousa																																																																	Heterosiphonia japonica Yendo								Plantae				Dasyaceae	Heterosiphonia											
895007001																										SANT:SANT-Algae:28188-A																														http://biocol.org/urn:lsid:biocol.org:col:14309			SANT	SANT-Algae			PreservedSpecimen				SANT:SANT-Algae:28188-A	28188		I. Bárbara & V. Peña																													2007-07-04				2007	7	4		Submareal (14 m) en fondo de maërl y cascajo															ES	PO			Pontevedra: Faro de Piedra Seca, Illa de Arousa, Ría de Arousa	Pontevedra: Faro de Piedra Seca, Illa de Arousa, Ría de Arousa																																																																	Heterosiphonia japonica Yendo								Plantae				Dasyaceae	Heterosiphonia											
895007000																										SANT:SANT-Algae:21415-A																														http://biocol.org/urn:lsid:biocol.org:col:14309			SANT	SANT-Algae			PreservedSpecimen				SANT:SANT-Algae:21415-A	21415		V. Peña & I. Bárbara																													2005-06-14				2005	6	14		Submareal (-13m) en fondo de maërl y cascajo															ES	PO			Pontevedra: Punta Loira, Marín, Ría de Pontevedra	Pontevedra: Punta Loira, Marín, Ría de Pontevedra																																																																	Heterosiphonia japonica Yendo								Plantae				Dasyaceae	Heterosiphonia											
895006999																										SANT:SANT-Algae:21510-A																														http://biocol.org/urn:lsid:biocol.org:col:14309			SANT	SANT-Algae			PreservedSpecimen				SANT:SANT-Algae:21510-A	21510		V. Peña & I. Bárbara																													2004-03-17				2004	3	17		Submareal (-5m) en fondo de maërl															ES	PO			Pontevedra: Oeste de Con de Pego, Cangas, Ría de Vigo	Pontevedra: Oeste de Con de Pego, Cangas, Ría de Vigo																																																																	Heterosiphonia japonica Yendo								Plantae				Dasyaceae	Heterosiphonia											
895006996																										SANT:SANT-Algae:18488-A																														http://biocol.org/urn:lsid:biocol.org:col:14309			SANT	SANT-Algae			PreservedSpecimen				SANT:SANT-Algae:18488-A	18488		V. Peña, I. Bárbara, P. Díaz & M. Tibaldo																													2005-06-22				2005	6	22		Infralitoral (-5m) en fondo de maërl															ES	C			A Coruña: Canal Curbina, Sur Isla Vionta, Ribeira, Ría de Arousa	A Coruña: Canal Curbina, Sur Isla Vionta, Ribeira, Ría de Arousa																																																																	Heterosiphonia japonica Yendo								Plantae				Dasyaceae	Heterosiphonia											
895006994																										SANT:SANT-Algae:22146-A																														http://biocol.org/urn:lsid:biocol.org:col:14309			SANT	SANT-Algae			PreservedSpecimen				SANT:SANT-Algae:22146-A	22146		V. Peña & I. Bárbara																													2004-04-28				2004	4	28		Submareal (-18 m) sobre maërl y cascajo															ES	C			A Coruña: Punta Aguiuncho, Ribeira, Ría de Arousa	A Coruña: Punta Aguiuncho, Ribeira, Ría de Arousa																																																																	Heterosiphonia japonica Yendo								Plantae				Dasyaceae	Heterosiphonia											
