"OccurrenceID","GUID","Herbarium","Collection","Dataset","Accession","Catalog","Barcode","Other Catalog Numbers","Information Withheld","Basis of Record","Family","Accepted Name","Scientific Name","Notho Genus","Genus","Notho Species","Specific Epithet","Specific Authors","Infraspecific Rank","Notho Infraspecies","Infraspecific Epithet","Infraspecific Authors","Hybrid Symbol","2nd Notho Genus","2nd Genus","2nd Notho Species","2nd Specific Epithet","2nd Specific Authors","2nd Infraspecific Rank","2nd Notho Infraspecies","2nd Infraspecific Epithet","2nd Infraspecific Authors","Cultivar","Name Qualifier","Qualifier Position","Type Specimen?","Type Status","Specimen Notes","Phenology","Origin","Cultivated?","Imaged?","Site Number","Collector","Collector Number","Other Collectors","Day Collected","Month Collected","Year Collected","Verbatim Collection Date","Country","State or Province","County","Locality","Site Description","Verbatim Elevation","Minimum Elevation in Meters","Maximum Elevation in Meters","Verbatim Coordinates","Decimal Latitude","Decimal Longitude","Valid LatLng","Geodetic Datum","Coordinate Uncertainty in Meters","Georeferenced By","Georeference Sources","Georeference Remarks"
"1273024","","UBC","Algae","","A54675","","","","","PreservedSpecimen","Dasyaceae","Heterosiphonia japonica","Heterosiphonia japonica","","Heterosiphonia","","japonica","","","","","","","","","","","","","","","","","","","N","","","","","N","N","","M.W. Hawkes","s.n.","C. E. Tanner","26","3","1976","1976 Mar 26","Canada","British Columbia","","Central Coast, East side of York Point, Gil Island, Whale channel.","","","","","","53.09","-129.17","Y","Unknown","","Crystal Kwong","Verbatim from Collector/Sheet",""
"1273025","","UBC","Algae","","A54567","","","","","PreservedSpecimen","Dasyaceae","Heterosiphonia japonica","Heterosiphonia japonica","","Heterosiphonia","","japonica","","","","","","","","","","","","","","","","","","","N","","","Tetrasporic","","N","N","","C. E. Tanner","31599","M. W. Hawkes","24","3","1976","1976 Mar 24","Canada","British Columbia","","Central Coast, South side of Kynoch Inlet.","","","","","","52.74","-127.97","Y","Unknown","","Crystal Kwong","Verbatim from Collector/Sheet",""
"1273029","","UBC","Algae","","A54507","","","","","PreservedSpecimen","Dasyaceae","Heterosiphonia japonica","Heterosiphonia japonica","","Heterosiphonia","","japonica","","","","","","","","","","","","","","","","","","","N","","","Tetrasporic","","N","N","","M.W. Hawkes","31634","C. E. Tanner","25","3","1976","1976 Mar 25","Canada","British Columbia","","Central Coast, North end of Campania Island, east side of Sharp Bay.","","","","","","53.18","-129.54","Y","Unknown","","Crystal Kwong","Verbatim from Collector/Sheet",""
"1303112","","UBC","Algae","","A56161","","","","","PreservedSpecimen","Dasyaceae","Heterosiphonia japonica","Heterosiphonia japonica","","Heterosiphonia","","japonica","","","","","","","","","","","","","","","","","","","N","","","Tetrasporic","","N","N","","Judy Root","s.n.","","29","3","1976","1976 Mar 29","Canada","British Columbia","","Skeena-Queen Charolette, Andrews Point, east side of Langara Island, Haida Gwaii (Queen Charlotte Islands)","","","","","","54.24","-132.96","Y","Unknown","","Crystal Kwong","Verbatim from Collector/Sheet",""
"1303113","","UBC","Algae","","A54730","","","","","PreservedSpecimen","Dasyaceae","Heterosiphonia japonica","Heterosiphonia japonica","","Heterosiphonia","","japonica","","","","","","","","","","","","","","","","","","","N","","","Tetrasporic","","N","N","","C. E. Tanner","31719","M. W. Hawkes","27","3","1976","1976 Mar 27","Canada","British Columbia","","Skeena-Queen Charolette, Moresby island, bolkus islands, skincuttle inlet, east coast of Haida Gwaii (Queen Charlotte Islands)","","","","","","52.323333","-131.25","Y","Unknown","","Crystal Kwong","Verbatim from Collector/Sheet",""
"1303114","","UBC","Algae","","A54605","","","","","PreservedSpecimen","Dasyaceae","Heterosiphonia japonica","Heterosiphonia japonica","","Heterosiphonia","","japonica","","","","","","","","","","","","","","","","","","","N","","","Tetrasporic","","N","N","","M.W. Hawkes","31802","C. E. Tanner","27","3","1976","1976 Mar 27","Canada","British Columbia","","Skeena-Queen Charolette, Small islet off house island, north of ramsay island, east coast of Haida Gwaii (Queen Charlotte Islands)","","","","","","52.58","-131.4","Y","Unknown","","Crystal Kwong","Verbatim from Collector/Sheet",""
"2341893","6c283242-5550-40cc-8a61-bd81d3eb2a34","WTU","Algae","","310770","","WTU-A-008369","","","PreservedSpecimen","Dasyaceae","Heterosiphonia japonica","Heterosiphonia japonica","","Heterosiphonia","","japonica","","","","","","","","","","","","","","","","","","","N","","","","","N","Y","","Robert B. Setzer","10138","","17","4","1976","","U.S.A.","California","Monterey","Monterey Peninsula. South end of Carmel Beach.","Cast ashore.","","","","","36.532812","-121.934509","Y","WGS 84","3019","Robin Lauber","Digital Map",""
"1272981","","UBC","Algae","","A53991","","","","","PreservedSpecimen","Dasyaceae","Heterosiphonia japonica","Heterosiphonia japonica","","Heterosiphonia","","japonica","","","","","","","","","","","","","","","","","","","N","","","Tetrasporic, spermatangial","","N","N","","M.W. Hawkes","31262","","24","6","1975","1975 Jun 24","Canada","British Columbia","","Central Coast, Tree Islets, east of Pine Island.","","","","","","50.98","-127.71","Y","Unknown","","Crystal Kwong","Verbatim from Collector/Sheet",""
"1273010","","UBC","Algae","","A54023","","","","","PreservedSpecimen","Dasyaceae","Heterosiphonia japonica","Heterosiphonia japonica","","Heterosiphonia","","japonica","","","","","","","","","","","","","","","","","","","N","","","Tetrasporic","","N","N","","J. Root","s.n.","B. Smith","26","6","1975","1975 Jun 26","Canada","British Columbia","","Lighthouse at the mouth of quatsino sound, caines island.","","","","","","50.5","-127.59","Y","WGS84","","David Rowswell","WorldGeolocations Table",""
"1273018","","UBC","Algae","","A54283","","","","","PreservedSpecimen","Dasyaceae","Heterosiphonia japonica","Heterosiphonia japonica","","Heterosiphonia","","japonica","","","","","","","","","","","","","","","","","","","N","","","","","N","N","","R. G. Hooper","492","","10","5","1975","1975 May 10","Canada","British Columbia","","Senanus island.","Growing moderately on rock.","","","","","48.6","-123.5","Y","Unknown","","Crystal Kwong","Verbatim from Collector/Sheet",""
