done,locality string,country,state,county,latitude,longitude,correction status,precision,error polygon,multiple results,uncertainty radius,uncertainty radius (circular polygon),SAP Number,Genus,Species,Year,Month,Day,Collector,Determination
y,"Motoujina, Hiroshima, Hiroshima Prefecture, Japan",,,,34.345272,132.462404,,,,,657,,94841,Heterosiphonia,japonica,2001,5,7,H. Tanaka,H. Tanaka
y,"Motoujina, Hiroshima, Hiroshima Prefecture, Japan",,,,34.345272,132.462404,,,,,657,,94842,Heterosiphonia,japonica,2001,4,22,H. Tanaka,H. Tanaka
y,"Motoujina, Hiroshima, Hiroshima Prefecture, Japan",,,,34.345272,132.462404,,,,,657,,94843,Heterosiphonia,japonica,2001,3,11,H. Tanaka,H. Tanaka
y,"Motoujina, Hiroshima, Hiroshima Prefecture, Japan",,,,34.345272,132.462404,,,,,657,,94844,Heterosiphonia,japonica,2001,2,13,H. Tanaka,H. Tanaka
y,"Motoujina, Hiroshima, Hiroshima Prefecture, Japan",,,,34.345272,132.462404,,,,,657,,98216,Heterosiphonia,japonica,2002,4,13,H. Tanaka,H. Tanaka
y,"Motoujina, Hiroshima, Hiroshima Prefecture, Japan ",,,,34.345272,132.462404,,,,,657,,98217,Heterosiphonia,japonica,2003,3,18,H. Tanaka,H. Tanaka
y,"Motoujina, Hiroshima, Hiroshima Prefecture, Japan ",,,,34.345272,132.462404,,,,,657,,98218,Heterosiphonia,japonica,2002,3,17,H. Tanaka,H. Tanaka
y,"Mukou-ujina, Hiroshima Prefecture, Japan",,,,34.344987,132.461546,,,,,722,"POLYGON ((132.460862036125 34.3514709140094, 132.460183278786 34.351396794551, 132.459514894865 34.3512738891596, 132.458861972241 34.351103133384, 132.458229481037 34.350885827011, 132.457622235768 34.3506236241733, 132.457044858664 34.3503185207569, 132.456501744469 34.3499728392061, 132.455997026969 34.3495892108369, 132.455534547511 34.3491705557971, 132.45511782576 34.3487200608233, 132.454750032908 34.3482411549667, 132.45443396755 34.3477374834747, 132.454172034401 34.3472128800268, 132.453966226026 34.3466713375403, 132.453818107708 34.3461169777675, 132.453728805578 34.3455540199184, 132.453698998083 34.3449867485463, 132.453728910863 34.3444194809417, 132.453818315079 34.3438565342805, 132.453966529182 34.3433021927762, 132.454172424131 34.3427606750836, 132.454434432013 34.3422361022018, 132.454750557992 34.3417324661193, 132.45511839551 34.3412535994399, 132.455535144615 34.3408031462204, 132.455997633284 34.3403845342436, 132.456502341574 34.3400009489376, 132.457045428415 34.3396553091415, 132.457622760853 34.3393502449029, 132.458229945503 34.3390880774753, 132.458862361974 34.3388708016692, 132.459515198023 34.3387000706882, 132.460183486158 34.3385771835658, 132.460862141411 34.3385030752956, 132.461546 34.3384783097297, 132.462229858589 34.3385030752956, 132.462908513842 34.3385771835658, 132.463576801977 34.3387000706882, 132.464229638026 34.3388708016692, 132.464862054497 34.3390880774753, 132.465469239147 34.3393502449029, 132.466046571585 34.3396553091415, 132.466589658427 34.3400009489376, 132.467094366716 34.3403845342436, 132.467556855385 34.3408031462204, 132.46797360449 34.3412535994399, 132.468341442008 34.3417324661193, 132.468657567987 34.3422361022018, 132.468919575869 34.3427606750836, 132.469125470818 34.3433021927762, 132.469273684921 34.3438565342805, 132.469363089137 34.3444194809417, 132.469393001917 34.3449867485463, 132.469363194422 34.3455540199184, 132.469273892292 34.3461169777675, 132.469125773975 34.3466713375403, 132.4689199656 34.3472128800268, 132.46865803245 34.3477374834747, 132.468341967092 34.3482411549667, 132.46797417424 34.3487200608233, 132.467557452489 34.3491705557971, 132.467094973031 34.3495892108369, 132.466590255531 34.3499728392061, 132.466047141336 34.3503185207569, 132.465469764232 34.3506236241733, 132.464862518963 34.350885827011, 132.46423002776 34.351103133384, 132.463577105136 34.3512738891596, 132.462908721214 34.351396794551, 132.462229963875 34.3514709140094, 132.461546 34.3514956833429, 132.460862036125 34.3514709140094))",94836,Heterosiphonia,japonica,1960,4,29,M. Yamada,H. Tanaka
y,"Nagatoyo, Shimamaki, Hokkaido, Japan",,,,42.703626,140.057724,,,,,1252,"POLYGON ((140.056391932558 42.714853542858, 140.055070008408 42.7147251841809, 140.05376829349 42.7145123393111, 140.052496699624 42.7142166289429, 140.051264908929 42.713840304727, 140.050082299998 42.713386232107, 140.048957876399 42.7128578684755, 140.047900198044 42.712259236816, 140.046917315967 42.7115948950315, 140.046016710992 42.7108699011959, 140.045205236782 42.7100897749923, 140.044489063772 42.7092604573003, 140.043873646663 42.7083882583722, 140.043363663213 42.707479819244, 140.042962990822 42.7065420551007, 140.042674674351 42.7055821040408, 140.042500903089 42.7046072727163, 140.042442994239 42.7036249806994, 140.042501383058 42.7026427039989, 140.042675619705 42.7016679181582, 140.042964372838 42.7007080413674, 140.043365439899 42.699770378022, 140.043875764034 42.6988620631578, 140.044491457494 42.6979900081841, 140.045207834114 42.6971608497599, 140.046019433025 42.6963808933037, 140.046920079993 42.6956560745351, 140.04790292008 42.694991907818, 140.048960473737 42.6943934459069, 140.050084693719 42.693865241547, 140.0512670263 42.6934113128824, 140.05249847631 42.6930351129316, 140.053769675507 42.6927395033622, 140.055070953763 42.6925267327625, 140.056392412527 42.6923984195696, 140.057724 42.6923555397856, 140.059055587473 42.6923984195696, 140.060377046237 42.6925267327625, 140.061678324493 42.6927395033622, 140.06294952369 42.6930351129316, 140.0641809737 42.6934113128824, 140.065363306281 42.693865241547, 140.066487526263 42.6943934459069, 140.06754507992 42.694991907818, 140.068527920007 42.6956560745351, 140.069428566975 42.6963808933037, 140.070240165886 42.6971608497599, 140.070956542506 42.6979900081841, 140.071572235966 42.6988620631578, 140.072082560101 42.699770378022, 140.072483627162 42.7007080413674, 140.072772380295 42.7016679181582, 140.072946616942 42.7026427039989, 140.073005005761 42.7036249806994, 140.072947096911 42.7046072727163, 140.072773325649 42.7055821040408, 140.072485009178 42.7065420551007, 140.072084336787 42.707479819244, 140.071574353337 42.7083882583722, 140.070958936228 42.7092604573003, 140.070242763218 42.7100897749923, 140.069431289008 42.7108699011959, 140.068530684033 42.7115948950315, 140.067547801956 42.712259236816, 140.066490123601 42.7128578684755, 140.065365700002 42.713386232107, 140.064183091071 42.713840304727, 140.062951300376 42.7142166289429, 140.06167970651 42.7145123393111, 140.060377991592 42.7147251841809, 140.059056067442 42.714853542858, 140.057724 42.7148964379586, 140.056391932558 42.714853542858))",89709,Heterosiphonia,japonica,2000,6,6,T. Horita and M. Masuda,T. Horita and M. Masuda
y,Niigata prefecture ,,,,37.869202,138.844939,,,,,94039,"POLYGON ((138.750708082974 38.7131236518743, 138.657219584536 38.7033661705629, 138.565209463592 38.6871891197943, 138.475400836428 38.6647198458027, 138.38849774564 38.6361350811723, 138.305179152786 38.6016594149644, 138.226093223119 38.5615633557394, 138.151851956786 38.5161610177028, 138.083026236245 38.4658074377446, 138.02014132149 38.4108955741856, 137.96367282871 38.3518530147679, 137.914043239759 38.2891384166069, 137.871618945439 38.2232377293343, 137.836707841756 38.154660232686, 137.809557481694 38.0839344278676, 137.790353778751 38.0116038208428, 137.779220251808 37.9382226351267, 137.776217795017 37.8643514906876, 137.781344951464 37.7905530842234, 137.794538665404 37.7173879044644, 137.815675484757 37.6454100143042, 137.844573183435 37.575162929569, 137.880992771675 37.5071756221297, 137.924640861977 37.4419586729112, 137.975172358208 37.3800005981938, 138.032193436035 37.3217643704703, 138.095264783778 37.2676841530425, 138.163905074131 37.218162265592, 138.237594638291 37.1735663956366, 138.315779317107 37.1342270703841, 138.397874462649 37.1004353989334, 138.483269068879 37.0724410966896, 138.571330008757 37.0504507994842, 138.661406358006 37.0346266748461, 138.752833786583 37.0250853360803, 138.844939 37.0218970635251, 138.937044213417 37.0250853360803, 139.028471641994 37.0346266748461, 139.118547991243 37.0504507994842, 139.206608931121 37.0724410966896, 139.292003537351 37.1004353989334, 139.374098682893 37.1342270703841, 139.452283361709 37.1735663956366, 139.525972925869 37.218162265592, 139.594613216222 37.2676841530425, 139.657684563965 37.3217643704703, 139.714705641792 37.3800005981938, 139.765237138023 37.4419586729112, 139.808885228325 37.5071756221297, 139.845304816565 37.575162929569, 139.874202515243 37.6454100143042, 139.895339334596 37.7173879044644, 139.908533048536 37.7905530842234, 139.913660204983 37.8643514906876, 139.910657748192 37.9382226351267, 139.899524221249 38.0116038208428, 139.880320518306 38.0839344278676, 139.853170158244 38.154660232686, 139.818259054561 38.2232377293343, 139.775834760241 38.2891384166069, 139.72620517129 38.3518530147679, 139.66973667851 38.4108955741856, 139.606851763755 38.4658074377446, 139.538026043214 38.5161610177028, 139.463784776881 38.5615633557394, 139.384698847214 38.6016594149644, 139.30138025436 38.6361350811723, 139.214477163572 38.6647198458027, 139.124668536408 38.6871891197943, 139.032658415464 38.7033661705629, 138.939169917026 38.7131236518743, 138.844939 38.7163847098413, 138.750708082974 38.7131236518743))",55812,Heterosiphonia,japonica,1924,6,,Y. Yamada,Y. Yamada
y,"Nomozaki, Nagasaki Prefecture ",Japan,Nagasaki,,32.582923,129.754169,,Low(38),,"32.782063,129.827152,NAGASAKI|Unavailable|301|Low(38),33.23344,129.611075,NAGASAKI|Unavailable|301|Low(38),32.75465,129.869475,NAGASAKI|Unavailable|301|Low(38)",1706,"POLYGON ((129.752585100489 32.5982480677084, 129.75101326155 32.5980728658779, 129.749465451779 32.5977823454906, 129.74795345653 32.5973787186692, 129.746488788048 32.5968650587326, 129.745082599235 32.5962452745167, 129.743745592023 32.5955240905177, 129.742487946459 32.5947069942169, 129.741319235699 32.5938002066731, 129.740248354975 32.5928106316753, 129.739283453858 32.5917458031148, 129.738431874242 32.5906138275541, 129.73770009451 32.589423322437, 129.737093680318 32.5881833504152, 129.736617242361 32.5869033502966, 129.73627439781 32.5855930656866, 129.736067756955 32.584262468396, 129.735998883608 32.5829216863924, 129.736068295801 32.5815809240591, 129.73627545913 32.5802503851813, 129.736618793901 32.5789401959518, 129.73709567494 32.5776603252828, 129.73770247161 32.5764205128473, 129.738434561593 32.5752301926044, 129.739286369807 32.5740984215888, 129.740251410922 32.5730338110292, 129.741322338791 32.5720444608646, 129.74249100241 32.5711378981545, 129.74374850798 32.5703210198568, 129.745085286597 32.569600040406, 129.746491165153 32.5689804410526, 129.747955451158 32.5684669407029, 129.749467003325 32.5680634433319, 129.751014322869 32.5677730183253, 129.752585639335 32.5675978749076, 129.754169 32.5675393453613, 129.755752360665 32.5675978749076, 129.757323677131 32.5677730183253, 129.758870996675 32.5680634433319, 129.760382548842 32.5684669407029, 129.761846834847 32.5689804410526, 129.763252713403 32.569600040406, 129.76458949202 32.5703210198568, 129.76584699759 32.5711378981545, 129.767015661209 32.5720444608646, 129.768086589078 32.5730338110292, 129.769051630193 32.5740984215888, 129.769903438407 32.5752301926044, 129.77063552839 32.5764205128473, 129.77124232506 32.5776603252828, 129.771719206099 32.5789401959518, 129.77206254087 32.5802503851813, 129.772269704199 32.5815809240591, 129.772339116392 32.5829216863924, 129.772270243045 32.584262468396, 129.772063602189 32.5855930656866, 129.771720757639 32.5869033502966, 129.771244319682 32.5881833504152, 129.77063790549 32.589423322437, 129.769906125758 32.5906138275541, 129.769054546142 32.5917458031148, 129.768089645025 32.5928106316753, 129.767018764301 32.5938002066731, 129.765850053541 32.5947069942169, 129.764592407977 32.5955240905177, 129.763255400765 32.5962452745167, 129.761849211952 32.5968650587326, 129.76038454347 32.5973787186692, 129.75887254822 32.5977823454906, 129.75732473845 32.5980728658779, 129.755752899511 32.5982480677084, 129.754169 32.5983066169249, 129.752585100489 32.5982480677084))",24193,Heterosiphonia,japonica,1933,4,15,T. Tanaka,
y,"Ofuyu, Machike-cho, Hokkaido",,,,43.739835,141.338355,,,,,1362,"POLYGON ((141.336881112336 43.7520467658134, 141.335418448665 43.7519071517935, 141.33397814736 43.7516756433538, 141.332571176207 43.7513540034243, 141.331208248748 43.7509446812598, 141.329899742573 43.7504507937641, 141.328655620187 43.7498761017225, 141.327485353058 43.7492249811228, 141.326397849438 43.748502389785, 141.325401386501 43.7477138295551, 141.324503543686 43.7468653061929, 141.323711158218 43.7459632764615, 141.323030255245 43.7450146090867, 141.322466012918 43.7440265260118, 141.322022720616 43.7430065488814, 141.321703746449 43.7419624417453, 141.321511511794 43.740902151926, 141.321447473059 43.7398337495038, 141.321512110795 43.7387653658789, 141.321704926251 43.7377051318805, 141.322024445371 43.7366611158927, 141.32246823022 43.7356412624687, 141.323032897723 43.7346533318992, 141.323714145582 43.7337048411954, 141.324506785165 43.7328030069322, 141.325404783597 43.7319546918922, 141.326401298941 43.7311663465168, 141.327488750157 43.7304439700339, 141.328658861662 43.7297930577612, 141.329902729935 43.7292185611887, 141.331210891225 43.7287248503651, 141.332573393509 43.7283156807072, 141.333979872115 43.7279941644851, 141.335419628467 43.7277627471946, 141.336881711337 43.7276231889962, 141.338355 43.7275765513568, 141.339828288663 43.7276231889962, 141.341290371533 43.7277627471946, 141.342730127885 43.7279941644851, 141.344136606491 43.7283156807072, 141.345499108775 43.7287248503651, 141.346807270066 43.7292185611887, 141.348051138338 43.7297930577612, 141.349221249843 43.7304439700339, 141.350308701059 43.7311663465168, 141.351305216404 43.7319546918923, 141.352203214835 43.7328030069322, 141.352995854418 43.7337048411954, 141.353677102277 43.7346533318992, 141.35424176978 43.7356412624687, 141.354685554629 43.7366611158927, 141.355005073749 43.7377051318805, 141.355197889205 43.7387653658789, 141.355262526941 43.7398337495038, 141.355198488206 43.740902151926, 141.355006253551 43.7419624417453, 141.354687279384 43.7430065488814, 141.354243987082 43.7440265260117, 141.353679744755 43.7450146090867, 141.352998841782 43.7459632764615, 141.352206456314 43.7468653061929, 141.351308613499 43.7477138295551, 141.350312150562 43.748502389785, 141.349224646942 43.7492249811227, 141.348054379813 43.7498761017225, 141.346810257427 43.7504507937641, 141.345501751252 43.7509446812598, 141.344138823793 43.7513540034243, 141.34273185264 43.7516756433538, 141.341291551335 43.7519071517935, 141.339828887664 43.7520467658134, 141.338355 43.7520934222503, 141.336881112336 43.7520467658134))",63146,Heterosiphonia,japonica,1994,7,13,M. Masuda,M. Masuda
y,"Ogon-misaki, Rumoi, Hokkaido",,,,43.947737,141.628884,,,,,1276,"POLYGON ((141.627498389352 43.9591772685901, 141.626123330087 43.9590464763829, 141.62476929311 43.9588295962662, 141.623446588982 43.958528279722, 141.622165289287 43.9581448211711, 141.620935149831 43.957682140481, 141.619765536251 43.9571437607026, 141.61866535263 43.9565337812076, 141.617642973638 43.9558568464313, 141.616706180741 43.9551181104593, 141.615862099432 43.9543231995106, 141.615117157827 43.9534781621505, 141.614477020383 43.9525894330614, 141.613946555443 43.9516637777868, 141.613529795868 43.9507082426571, 141.61322990847 43.9497301011163, 141.613049170067 43.948736798329, 141.612988950318 43.94773589449, 141.61304970148 43.9467350072701, 141.613230955149 43.9457417538353, 141.61353132601 43.9447636928808, 141.613948522556 43.9438082671226, 141.614479364697 43.9428827466816, 141.615119808111 43.9419941737913, 141.615864975158 43.9411493092491, 141.616709194525 43.9403545824827, 141.617646033916 43.9396160364684, 141.618668366417 43.9389392916501, 141.619768411975 43.9383294963417, 141.620937800113 43.9377912893819, 141.6221676336 43.9373287648915, 141.623448556094 43.9369454411752, 141.624770823252 43.9366442340034, 141.626124376766 43.9364274344738, 141.627498920765 43.9362966916195, 141.628884 43.9362529998932, 141.630269079235 43.9362966916195, 141.631643623234 43.9364274344738, 141.632997176748 43.9366442340034, 141.634319443906 43.9369454411752, 141.6356003664 43.9373287648915, 141.636830199887 43.9377912893819, 141.637999588025 43.9383294963417, 141.639099633583 43.9389392916501, 141.640121966084 43.9396160364684, 141.641058805475 43.9403545824827, 141.641903024842 43.9411493092491, 141.642648191889 43.9419941737913, 141.643288635303 43.9428827466816, 141.643819477444 43.9438082671227, 141.64423667399 43.9447636928808, 141.644537044851 43.9457417538353, 141.64471829852 43.9467350072701, 141.644779049682 43.94773589449, 141.644718829933 43.948736798329, 141.64453809153 43.9497301011163, 141.644238204132 43.9507082426571, 141.643821444557 43.9516637777868, 141.643290979617 43.9525894330614, 141.642650842173 43.9534781621505, 141.641905900568 43.9543231995106, 141.641061819259 43.9551181104593, 141.640125026362 43.9558568464313, 141.63910264737 43.9565337812076, 141.638002463749 43.9571437607026, 141.636832850169 43.957682140481, 141.635602710713 43.9581448211711, 141.634321411018 43.958528279722, 141.63299870689 43.9588295962662, 141.631644669913 43.9590464763829, 141.630269610648 43.9591772685901, 141.628884 43.9592209769358, 141.627498389352 43.9591772685901))",63145,Heterosiphonia,japonica,1994,7,17,M. Masuda,M. Masuda
y,"Ohara, Chiba Prefecture",,,,35.24557,140.408131,,,,,2365,"POLYGON ((140.405865681055 35.2668056780816, 140.403617616017 35.2665628821372, 140.401403927069 35.2661602774644, 140.399241473965 35.2656009304388, 140.397146726806 35.2648890986048, 140.395135634115 35.264030209473, 140.39322351106 35.2630308003139, 140.391424915903 35.2618984821236, 140.389753540675 35.2606418777991, 140.388222106832 35.2592705563517, 140.386842268385 35.2577949599034, 140.385624523223 35.2562263240311, 140.384578133323 35.2545765920731, 140.383711049993 35.252858325386, 140.383029869993 35.2510846022538, 140.382539763431 35.2492689260609, 140.382244448071 35.2474251175039, 140.382146158397 35.2455672104888, 140.382245629004 35.2437093452811, 140.382542089415 35.2418656608762, 140.383033270355 35.2400501874076, 140.383715421413 35.2382767394123, 140.384583342965 35.2365588119113, 140.38563041281 35.2349094728887, 140.386848658966 35.2333412717604, 140.388228804233 35.2318661386554, 140.389760341398 35.2304952950724, 140.391431613313 35.2292391686136, 140.393229901658 35.2281073137706, 140.395141523725 35.2271083393616, 140.397151936474 35.2262498431727, 140.399245845386 35.2255383505057, 140.401407327431 35.2249792786172, 140.403619942002 35.2245768766687, 140.405866861989 35.2243342048765, 140.408131 35.2242531087073, 140.410395138011 35.2243342048765, 140.412642057998 35.2245768766687, 140.414854672569 35.2249792786172, 140.417016154614 35.2255383505057, 140.419110063526 35.2262498431727, 140.421120476275 35.2271083393616, 140.423032098342 35.2281073137706, 140.424830386687 35.2292391686136, 140.426501658602 35.2304952950724, 140.428033195767 35.2318661386554, 140.429413341034 35.2333412717604, 140.43063158719 35.2349094728887, 140.431678657035 35.2365588119113, 140.432546578587 35.2382767394123, 140.433228729645 35.2400501874076, 140.433719910585 35.2418656608762, 140.434016370996 35.2437093452811, 140.434115841603 35.2455672104888, 140.434017551929 35.2474251175039, 140.433722236569 35.2492689260609, 140.433232130007 35.2510846022538, 140.432550950007 35.252858325386, 140.431683866677 35.2545765920731, 140.430637476777 35.2562263240311, 140.429419731615 35.2577949599034, 140.428039893168 35.2592705563517, 140.426508459325 35.2606418777991, 140.424837084097 35.2618984821236, 140.42303848894 35.2630308003139, 140.421126365885 35.264030209473, 140.419115273194 35.2648890986048, 140.417020526035 35.2656009304388, 140.414858072931 35.2661602774644, 140.412644383983 35.2665628821372, 140.410396318945 35.2668056780816, 140.408131 35.2668868160582, 140.405865681055 35.2668056780816))",63468,Heterosiphonia,japonica,1973,5,20,M. Masuda,M. Masuda
y,"Omaezaki, Shizuoka Prefecture",,,,34.59996,138.220994,,,,,15667,"POLYGON ((138.206083121806 34.7406490929973, 138.191286299969 34.7390382586833, 138.176716705171 34.7363672278256, 138.162485744032 34.732656428297, 138.14870219522 34.7279342368114, 138.135471367132 34.7222367588083, 138.122894284008 34.7156075485565, 138.111066908767 34.7080972700636, 138.100079396767 34.6997633133742, 138.090015422822 34.6906693337661, 138.080951523183 34.6808847787352, 138.072956529377 34.6704843398604, 138.066091041024 34.6595473834783, 138.06040697559 34.6481573379316, 138.055947182843 34.6364010532867, 138.052745131326 34.6243681353603, 138.050824668128 34.6121502597439, 138.05019985336 34.5998404711656, 138.050874870093 34.587532473608, 138.052844009922 34.5753199166359, 138.056091733742 34.5632956833767, 138.060592806753 34.5515511855483, 138.066312506141 34.5401756708384, 138.073206899417 34.5292555478085, 138.081223190847 34.5188737333355, 138.090300133537 34.509109027778, 138.100368500098 34.5000355199231, 138.111351620444 34.4917220350764, 138.123165952765 34.4842316059785, 138.135721738646 34.4776210202567, 138.148923662012 34.4719403757628, 138.16267157687 34.467232715281, 138.176861257543 34.4635337027262, 138.191385179658 34.4608713566638, 138.206133324353 34.4592658410776, 138.220994 34.4587293148593, 138.235854675647 34.4592658410776, 138.250602820342 34.4608713566638, 138.265126742457 34.4635337027262, 138.279316423129 34.467232715281, 138.293064337988 34.4719403757628, 138.306266261354 34.4776210202567, 138.318822047235 34.4842316059785, 138.330636379556 34.4917220350764, 138.341619499902 34.5000355199231, 138.351687866463 34.509109027778, 138.360764809153 34.5188737333355, 138.368781100583 34.5292555478085, 138.375675493859 34.5401756708384, 138.381395193247 34.5515511855484, 138.385896266258 34.5632956833767, 138.389143990078 34.5753199166359, 138.391113129907 34.587532473608, 138.39178814664 34.5998404711656, 138.391163331872 34.6121502597439, 138.389242868674 34.6243681353603, 138.386040817157 34.6364010532867, 138.38158102441 34.6481573379316, 138.375896958976 34.6595473834783, 138.369031470623 34.6704843398604, 138.361036476817 34.6808847787352, 138.351972577178 34.6906693337661, 138.341908603233 34.6997633133742, 138.330921091233 34.7080972700636, 138.319093715992 34.7156075485565, 138.306516632868 34.7222367588083, 138.29328580478 34.7279342368114, 138.279502255968 34.732656428297, 138.265271294829 34.7363672278256, 138.250701700031 34.7390382586833, 138.235904878194 34.7406490929973, 138.220994 34.7411874102654, 138.206083121806 34.7406490929973))",63172,Heterosiphonia,japonica,1970,3,20,M. Masuda,M. Masuda
y,"Omaezaki, Shizuoka Prefecture",,,,34.59996,138.220994,,,,,15667,,63173,Heterosiphonia,japonica,1970,4,5,M. Masuda,M. Masuda
y,"Omaezaki, Shizuoka Prefecture ",,,,34.59996,138.220994,,,,,15667,"POLYGON ((138.221239794484 34.7116124777773, 138.209178471961 34.7102993921834, 138.197302196837 34.7081220678727, 138.185701702173 34.7050971417887, 138.17446558853 34.7012477252547, 138.16367964008 34.6966032253331, 138.153426163488 34.6911991176308, 138.143783356275 34.6850766709795, 138.134824699716 34.6782826359875, 138.126618411149 34.6708688705163, 138.119226907606 34.6628919555589, 138.112706343723 34.654412749741, 138.107106181046 34.6454959263975, 138.102468819267 34.6362094752731, 138.098829279793 34.6266241815884, 138.096214947537 34.6168130839985, 138.094645372114 34.6068509160447, 138.094132129651 34.5968135354286, 138.094678745934 34.586777345512, 138.096280681142 34.5768187134787, 138.098925375923 34.5670133895949, 138.102592358118 34.557435931973, 138.107253408986 34.5481591411766, 138.112872787339 34.5392535089054, 138.119407509623 34.5307866848721, 138.126807683998 34.5228229661396, 138.135016892666 34.5154228105881, 138.143972629634 34.5086423855686, 138.153606765989 34.5025331350712, 138.163846084348 34.4971414092103, 138.174612817211 34.4925081004305, 138.185825241765 34.4886683442985, 138.197398293618 34.4856512543467, 138.209244206049 34.4834797037988, 138.221273168561 34.4821701541623, 138.233394 34.4817325319149, 138.245514831439 34.4821701541623, 138.257543793951 34.4834797037988, 138.269389706382 34.4856512543467, 138.280962758235 34.4886683442985, 138.292175182789 34.4925081004305, 138.302941915652 34.4971414092103, 138.313181234011 34.5025331350712, 138.322815370366 34.5086423855686, 138.331771107334 34.5154228105881, 138.339980316002 34.5228229661396, 138.347380490377 34.5307866848721, 138.353915212661 34.5392535089054, 138.359534591014 34.5481591411766, 138.364195641882 34.557435931973, 138.367862624077 34.5670133895949, 138.370507318858 34.5768187134787, 138.372109254066 34.586777345512, 138.372655870349 34.5968135354286, 138.372142627886 34.6068509160447, 138.370573052463 34.6168130839985, 138.367958720207 34.6266241815884, 138.364319180733 34.6362094752731, 138.359681818954 34.6454959263975, 138.354081656277 34.654412749741, 138.347561092395 34.6628919555589, 138.340169588851 34.6708688705163, 138.331963300285 34.6782826359875, 138.323004643725 34.6850766709795, 138.313361836512 34.6911991176308, 138.30310835992 34.6966032253331, 138.29232241147 34.7012477252547, 138.281086297827 34.7050971417887, 138.269485803163 34.7081220678727, 138.257609528039 34.7102993921834, 138.245548205516 34.7116124777773, 138.233394 34.7120512907372, 138.221239794484 34.7116124777773))",24837,Heterosiphonia,japonica,1944,4,22,T. Segi,
y,"Omaezaki, Shizuoka Prefecture ",,,,34.59996,138.220994,,,,,15667,,41958,Heterosiphonia,japonica,1982,3,28,T. Yoshida,T. Yoshida
y,"Ondo, Aki-gun, Hiroshima Prefecture, Japan",,,,34.173797,132.547441,,,,,2721,"POLYGON ((132.544868018323 34.1982335512341, 132.542314635494 34.1979541508226, 132.53980030069 34.1974908487472, 132.537344164893 34.196847173956, 132.534964934675 34.1960280291923, 132.532680731073 34.1950396511717, 132.530508944015 34.1938895736917, 132.528466111629 34.1925865518746, 132.526567785663 34.1911405092, 132.524828415133 34.1895624579019, 132.523261236289 34.1878644149348, 132.521878171904 34.1860593102837, 132.520689740666 34.1841608883267, 132.519704973046 34.1821836043134, 132.518931358596 34.1801425089563, 132.518374768294 34.1780531412831, 132.518039422757 34.1759314055736, 132.517927857786 34.1737934513089, 132.518040905571 34.1716555502107, 132.518377688869 34.1695339723851, 132.51893562819 34.1674448625161, 132.519710461931 34.1654041170503, 132.520696282048 34.1634272643797, 132.521885567045 34.1615293421184, 132.523269260493 34.159724790331, 132.52483682459 34.1580273365974, 132.526576324855 34.1564498929994, 132.528474521098 34.1550044580268, 132.530516968241 34.1537020254487, 132.532688126245 34.1525525008405, 132.534971476075 34.1515646224914, 132.537349653779 34.1507459090749, 132.539804570285 34.1501025841751, 132.54231755607 34.1496395399041, 132.544869501138 34.1493602973767, 132.547441 34.1492669800019, 132.550012498862 34.1493602973767, 132.55256444393 34.1496395399041, 132.555077429715 34.1501025841751, 132.557532346221 34.1507459090749, 132.559910523925 34.1515646224914, 132.562193873755 34.1525525008405, 132.564365031759 34.1537020254487, 132.566407478902 34.1550044580268, 132.568305675145 34.1564498929994, 132.57004517541 34.1580273365974, 132.571612739507 34.159724790331, 132.572996432955 34.1615293421184, 132.574185717952 34.1634272643797, 132.575171538069 34.1654041170503, 132.57594637181 34.1674448625161, 132.576504311131 34.1695339723851, 132.576841094429 34.1716555502107, 132.576954142214 34.1737934513089, 132.576842577243 34.1759314055736, 132.576507231706 34.1780531412831, 132.575950641404 34.1801425089563, 132.575177026954 34.1821836043134, 132.574192259333 34.1841608883267, 132.573003828096 34.1860593102837, 132.571620763711 34.1878644149348, 132.570053584867 34.1895624579019, 132.568314214337 34.1911405092, 132.566415888371 34.1925865518746, 132.564373055985 34.1938895736917, 132.562201268926 34.1950396511717, 132.559917065325 34.1960280291923, 132.557537835107 34.196847173956, 132.55508169931 34.1974908487472, 132.552567364506 34.1979541508226, 132.550013981677 34.1982335512341, 132.547441 34.1983269217753, 132.544868018323 34.1982335512341))",94842,Heterosiphonia,japonica,1961,4,30,M. Yamada,H. Tanaka
