latitude,longitude
-33.9,18.4
-33.899273,18.401688
-33.859,151.222
-33.73059845,18.43610001
-33.724076,18.441397
-33.724076,18.441397
-33.724076,18.441397
-33.724076,18.441397
-33.60389,115.10417
-33.36330032,18.14999962
-33.344383,18.161571
-33.34028,115.64194
-33.057231,18.040427
-33.050522,18.035621
-33.050522,18.035621
-33.041174,17.965316
-33.010335,20.62064
-33.005748,17.949694
-33.005748,17.949694
-32.854162,17.858893
-32.806985,17.887236
-32.80329895,17.88330078
-32.772124,18.13949
-32.76390076,18.03560066
-32.30667,115.71056
-32.270471,115.689454
-32.096682,18.300374
-32.096682,18.300374
-31.641667,22.666667
-31.619898,29.562809
-31.05052,30.230741
-30.9666996,17.65559959
-30.847779,17.574114
-30.404468,31.026098
-30.404468,31.026098
-30.404468,31.026098
-30.404468,31.026098
-30.31669998,17.26670074
-30.315308,17.271714
-29.2833004,16.87829971
-29.252782,16.864548
-29.25,16.86669922
-26.63689995,15.15330029
-25.89999962,14.91670036
-22.81669998,14.54220009
-22.736491,14.523752
-22.736491,14.523752
-22.66670036,14.52499962
-22.66670036,14.52499962
-22.66670036,14.52499962
-22.66670036,14.52499962
-20.31669998,13.2166996
33.427028,133.371254
33.525279,-79.02982
33.603997,132.860116
33.603997,132.860116
34.17489,-77.83607
34.182483,-77.813933
34.182483,-77.813933
34.182483,-77.813933
34.207475,-77.790105
34.207475,-77.790105
34.20835,-77.796917
34.212053,-77.792251
34.21365,-77.78722
34.3513,-77.65411
34.35151,-77.65446
34.35159,-77.6539
34.355675,-77.633378
34.372083,-77.625961
34.372083,-77.625961
34.528998,-77.33935
34.695,-76.675
34.695,-76.675
34.695,-76.675
34.69685,-76.67573
34.702748,-76.667422
34.702748,-76.667422
34.705,-76.678333
34.70845,-76.5211
34.714884,-76.684931
34.714884,-76.684931
34.714884,-76.684931
34.714884,-76.684931
34.714884,-76.684931
34.714884,-76.684931
34.714884,-76.684931
34.715166,-76.684931
34.721967,-76.753893
34.778192,-79.809961
34.778192,-79.809961
36.47,-6.248
36.48906,-4.71159
36.74806,-4.05539
36.74944,-4.06291
36.99229,-4.7228
37.175,-7.372
37.804061,-122.256989
37.983333,-75.425
37.98561,-75.42698
38.454903,-27.946472
38.75,0.23
38.75,0.23
38.785122,-75.119233
39.809844,-74.182578
39.810004,-74.19044
39.810965,-74.202662
39.834254,-74.089271
39.834254,-74.089271
40.03056,-124.07194
40.130001,0.16
40.361499,-73.974026
40.361499,-73.974026
40.48407,17.27076
40.900194,-72.524719
40.900194,-72.524719
40.937615,-72.571009
40.940781,-73.423294
40.940781,-73.423294
40.945246,-72.499194
40.945246,-72.499194
40.945246,-72.499194
40.945246,-72.499194
41.067516,-71.873253
41.067516,-71.873253
41.067516,-71.873253
41.067516,-71.873253
41.071205,-71.856601
41.071205,-71.856601
41.082985,-72.296975
41.082985,-72.296975
41.082985,-72.296975
41.082985,-72.296975
41.082985,-72.296975
41.082985,-72.296975
41.110241,-72.359557
41.110241,-72.359557
41.11111,-72.19194
41.1122818,-72.35810852
41.130444,-72.336306
41.130444,-72.336306
41.130444,-72.336306
41.130444,-72.336306
41.148554,-72.283159
41.2025,-73.07138
41.275402,-70.216685
41.277635,-72.315733
41.277635,-72.315733
41.295524,-72.208473
41.295524,-72.208473
41.295524,-72.208473
41.295524,-72.208473
41.295524,-72.208473
41.295524,-72.208473
41.295524,-72.208473
41.295524,-72.208473
41.298009,-72.246312
41.299017,-72.243544
41.299017,-72.243544
41.305195,-72.165059
41.305195,-72.165059
41.305195,-72.165059
41.305195,-72.165059
41.306038,-72.146134
41.306165,-72.145698
41.306165,-72.145698
41.306262,-72.145827
41.308818,-72.148403
41.308818,-72.148403
41.308866,-72.148414
41.308866,-72.148414
41.310098,-72.145355
41.310098,-72.145355
41.31361,-71.85027
41.31361,-71.85027
41.3145,-72.0631
41.327531,-71.921139
41.327531,-71.921139
41.329978,-71.790315
41.329978,-71.790315
41.329978,-71.790315
41.329978,-71.790315
41.329978,-71.790315
41.329978,-71.790315
41.33746,-71.723387
41.33746,-71.723387
41.33746,-71.723387
41.33746,-71.723387
41.34667969,-71.96795654
41.34711,-71.905803
41.34711,-71.905803
41.34711,-71.905803
41.34711,-71.905803
41.350593,-70.838127
41.350593,-70.838127
41.350593,-70.838127
41.350593,-70.838127
41.35289,-70.77864
41.371165,-71.513953
41.371165,-71.513953
41.371165,-71.513953
41.371165,-71.513953
41.387112,-70.646896
41.387112,-70.646896
41.38774109,-71.51726532
41.38774109,-71.51726532
41.38774109,-71.51726532
41.38774109,-71.51726532
41.38929,-71.470947
41.390046,-71.468253
41.390046,-71.468253
41.426491,-71.497002
41.448166,-71.355836
41.448166,-71.355836
41.448166,-71.355836
41.448166,-71.355836
41.448166,-71.355836
41.448166,-71.355836
41.450122,-70.856282
41.450122,-70.856282
41.450879,-70.922412
41.450879,-70.922412
41.450879,-70.922412
41.450879,-70.922412
41.450879,-70.922412
41.450879,-70.922412
41.450879,-70.922412
41.450879,-70.922412
41.453,-71.394867
41.453,-71.394867
41.455912,-70.811307
41.455912,-70.811307
41.458844,-71.196056
41.458844,-71.196056
41.460226,-70.765885
41.460226,-70.765885
41.460546,-71.169148
