source,sourceID,scientificName,year,latitude,longitude
GBIF,2005082572,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,1999,41.49666,-71.363156
GBIF,2005082506,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,1999,41.49666,-71.363156
MHP,8125,Codium fragile subsp. tomentosoides,1999,41.49666,-71.363156
MHP,8126,Codium fragile subsp. tomentosoides,1999,41.49666,-71.363156
MHP,94952,Codium fragile subsp. tomentosoides,1980,41.503333,-71.02
MHP,549147,Codium fragile subsp. tomentosoides,1966,41.505444,-70.696179
OBIS,b067802b-0e26-46d0-8409-074a48d3865a,Codium fragile subsp. fragile,2000,41.50550079,-71.3253479
GBIF,2005082546,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,2000,41.505645,-71.326009
MHP,8124,Codium fragile subsp. tomentosoides,2000,41.505645,-71.326009
GBIF,1989419104,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,1965,41.509615,-70.687586
MHP,549153,Codium fragile subsp. tomentosoides,1965,41.509615,-70.687586
MHP,595338,Codium fragile subsp. fragile,1964,41.510338,-70.687103
OBIS,439df2ae-d900-4154-ac15-aa25ce0b24f2,Codium fragile subsp. fragile,2003,41.51361847,-71.07692719
OBIS,96268c43-8667-4be8-ae07-92e9f39117e0,Codium fragile subsp. fragile,2000,41.51361847,-71.07692719
MHP,94680,Codium fragile subsp. tomentosoides,1971,41.51404,-70.69621
GBIF,2005082473,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,1967,41.515045,-70.655627
GBIF,2005082456,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,1967,41.515045,-70.655627
GBIF,2005082453,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,1985,41.515045,-70.655627
MHP,8076,Codium fragile subsp. tomentosoides,1985,41.515045,-70.655627
MHP,8077,Codium fragile subsp. tomentosoides,1967,41.515045,-70.655627
MHP,8078,Codium fragile subsp. tomentosoides,1967,41.515045,-70.655627
MHP,595341,Codium fragile subsp. fragile,1970,41.515109,-70.696697
MHP,595346,Codium fragile subsp. tomentosoides,1966,41.515109,-70.696697
MHP,239025,Codium fragile subsp. tomentosoides,1973,41.515175,-70.655506
GBIF,2005082562,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,2000,41.51651,-71.07708
GBIF,2005082534,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,2000,41.51651,-71.07708
GBIF,2005082469,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,2003,41.51651,-71.07708
GBIF,2005082438,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,2003,41.51651,-71.07708
MHP,8043,Codium fragile subsp. tomentosoides,2003,41.51651,-71.07708
MHP,8044,Codium fragile subsp. tomentosoides,2003,41.51651,-71.07708
MHP,8105,Codium fragile subsp. tomentosoides,2000,41.51651,-71.07708
MHP,8109,Codium fragile subsp. tomentosoides,2000,41.51651,-71.07708
MHP,94953,Codium fragile subsp. tomentosoides,1979,41.51664,-70.66874
GBIF,1988807796,Codium fragile subsp. fragile,1972,41.517369,-70.658857
MHP,549157,Codium fragile subsp. fragile,1972,41.517369,-70.658857
MHP,959083,Codium fragile subsp. Tomentosoides,1969,41.517609,-70.659196
MHP,595347,Codium fragile subsp. tomentosoides,1969,41.518304,-70.656036
GBIF,2005082467,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,2003,41.520711,-70.666719
GBIF,2005082430,Codium fragile subsp. tomentosoides (Goor) P.C.Silva,2000,41.520711,-70.666719
MHP,8045,Codium fragile subsp. tomentosoides,2003,41.520711,-70.666719
MHP,8110,Codium fragile subsp. tomentosoides,2000,41.520711,-70.666719
MHP,94683,Codium fragile subsp. tomentosoides,1967,41.521581,-70.670337
