codium_fragile,latitude,longitude
codium_fragile,41.387112,-70.646896
codium_fragile,41.387112,-70.646896
codium_fragile,41.38774109,-71.51726532
codium_fragile,41.38774109,-71.51726532
codium_fragile,41.38774109,-71.51726532
codium_fragile,41.38774109,-71.51726532
codium_fragile,41.38929,-71.470947
codium_fragile,41.390046,-71.468253
codium_fragile,41.390046,-71.468253
codium_fragile,41.426491,-71.497002
codium_fragile,41.448166,-71.355836
codium_fragile,41.448166,-71.355836
codium_fragile,41.448166,-71.355836
codium_fragile,41.448166,-71.355836
codium_fragile,41.448166,-71.355836
codium_fragile,41.448166,-71.355836
codium_fragile,41.450122,-70.856282
codium_fragile,41.450122,-70.856282
codium_fragile,41.450879,-70.922412
codium_fragile,41.450879,-70.922412
codium_fragile,41.450879,-70.922412
codium_fragile,41.450879,-70.922412
codium_fragile,41.450879,-70.922412
codium_fragile,41.450879,-70.922412
codium_fragile,41.450879,-70.922412
codium_fragile,41.450879,-70.922412
codium_fragile,41.453,-71.394867
codium_fragile,41.453,-71.394867
codium_fragile,41.455912,-70.811307
codium_fragile,41.455912,-70.811307
codium_fragile,41.458844,-71.196056
codium_fragile,41.458844,-71.196056
codium_fragile,41.460226,-70.765885
codium_fragile,41.460226,-70.765885
codium_fragile,41.460546,-71.169148
codium_fragile,41.460546,-71.169148
codium_fragile,41.461407,-71.168658
codium_fragile,41.462604,-71.19449
codium_fragile,41.47426605,-71.33603668
codium_fragile,41.47426605,-71.33603668
codium_fragile,41.47426605,-71.33603668
codium_fragile,41.47426605,-71.33603668
codium_fragile,41.482001,-71.321068
codium_fragile,41.488948,-71.267123
codium_fragile,41.49008179,-71.32322693
codium_fragile,41.49008179,-71.32322693
codium_fragile,41.49008179,-71.32322693
codium_fragile,41.49017,-71.32345
codium_fragile,41.49017,-71.32345
codium_fragile,41.49017,-71.32345
codium_fragile,41.49017,-71.32345
codium_fragile,41.493964,-71.396686
codium_fragile,41.493964,-71.396686
codium_fragile,41.49462128,-71.39631653
codium_fragile,41.49666,-71.363156
codium_fragile,41.49666,-71.363156
codium_fragile,41.49666,-71.363156
codium_fragile,41.49666,-71.363156
