source,source.id,genus,species,country,state.province,county,locality.1,locality.2,latitude,longitude,uncertainty,year,month,day,collector,determination
MHP,792113,Heterosiphonia,japonica,Japan,Kanagawa-ken,,"Yenoshima, Sagami province",,35.302538,139.48271,1051,1932,4,,,
MHP,792129,Heterosiphonia,japonica,Japan,Kanagawa-ken,,"Yenoshima, Sagami province",,35.302538,139.48271,1238,1932,4,,,
MHP,262368,Dasysiphonia,japonica,Japan,Kanagawa,,Shichirigahama,,35.305117,139.510742,1000,1971,1,28,Makoto Yoshizaki,
MHP,262371,Dasysiphonia,japonica,Japan,,,Yokohama,,35.458697,139.662422,7980,1928,4,21,Michitaro Higashi,
MHP,205589,Heterosiphonia,japonica,United States,California,Monterey,"Monterey Peninsula, Partington Canyon, Monterey County, CA","subtidal, 15 feet depth",36.176091,-121.694904,435,,,,R. Sellers,
MHP,262372,Dasysiphonia,japonica,Japan,Shimane,,"Tsuma Bay, Oki Islands, Sea of Japan",,36.186944,133.240792,762,1991,4,22,Mitsuo Kajimura,
MHP,205611,Heterosiphonia,japonica,United States,California,Monterey,"Bluefish Cove, Point Lobos Reserve State Park, Monterey County, CA",25 feet depth,36.521906,-121.943011,256,1974,5,4,Bob Sellers,
MHP,205588,Heterosiphonia,japonica,United States,California,Monterey,"Monterey Peninsula, ""Monastery Beach"" and Carmel Submarine Canyon, Monterey County, CA","on back of Cryptochiton stelleri, about 40 feet depth",36.523573,-121.927177,327,1974,4,27,Jay Smith,
MHP,205587,Heterosiphonia,japonica,United States,California,Monterey,"Monterey Peninsula, Carmel Submarine Canyon, off San Jose Creek Beach, Monterey County, Carmel, CA",60 feet depth,36.52847,-121.93236,848,1969,8,18,M. M. Littler,
MHP,434355,Heterosiphonia,japonica,United States,California,Monterey,Monterey Peninsula. South end of Carmel Beach.,Cast ashore.,36.532812,-121.934509,3019,1976,4,17,Robert B. Setzer,
MHP,434357,Heterosiphonia,japonica,United States,California,Monterey,Monterey Peninsula. South end of Carmel Beach.,Cast ashore.,36.532812,-121.934509,3019,1978,5,26,Robert B. Setzer,
MHP,434356,Heterosiphonia,japonica,United States,California,Monterey,South end of Carmel Beach.,Cast ashore.,36.534902,-121.92909,1893,1978,5,26,Robert Setzer,
MHP,205602,Heterosiphonia,japonica,United States,California,Monterey,"Monterey Peninsula, Carmel Submarine Canyon, Monterey County, Carmel, CA",between 40-90 feet depth,36.540122,-121.939144,2737,1970,9,14,Wheeler J. North,
MHP,205594,Heterosiphonia,japonica,United States,California,Monterey,"Monterey Peninsula, Carmel Bay, northwest of Carmel outfall, Monterey County, Carmel, CA",30-40 feet depth,36.542778,-121.94743,2887,1972,5,3,E. K. Anderson,
MHP,205599,Heterosiphonia,japonica,United States,California,Monterey,"Monterey Peninsula, between 12 street and Mission Point, Monterey County, CA",Cast ashore.,36.546199,-121.929749,233,1970,5,24,I. A. Abbott,
MHP,205590,Heterosiphonia,japonica,United States,California,Monterey,"Monterey Peninsula, south end of Carmel Beach, Monterey County, Carmel, CA",Cast ashore.,36.547932,-121.930002,395,1964,5,29,C. F. Cleland,
MHP,205593,Heterosiphonia,japonica,United States,California,Monterey,"Monterey Peninsula, south end of Carmel Beach, Monterey County, Carmel, CA",Cast ashore.,36.547932,-121.930002,395,1965,4,18,Norman Richardson,
MHP,205595,Heterosiphonia,japonica,United States,California,Monterey,"Monterey Peninsula, south end of Carmel Beach, Monterey County, Carmel, CA",Cast ashore.,36.547932,-121.930002,395,1970,5,20,I. A. Abbott,
MHP,205596,Heterosiphonia,japonica,United States,California,Monterey,"Monterey Peninsula, south end of Carmel Beach, Monterey County, Carmel, CA",Cast ashore.,36.547932,-121.930002,395,1970,5,20,i.a.,
MHP,205597,Heterosiphonia,japonica,United States,California,Monterey,"Monterey Peninsula, south end of Carmel Beach, Monterey County, Carmel, CA",Cast ashore.,36.547932,-121.930002,395,1969,6,5,I. A. Abbott,
MHP,205601,Heterosiphonia,japonica,United States,California,Monterey,"Monterey Peninsula, south end of Carmel Beach, Monterey County, Carmel, CA",Cast ashore.,36.547932,-121.930002,395,1966,6,15,I. A. Abbott,
MHP,205606,Heterosiphonia,japonica,United States,California,Monterey,"Monterey Peninsula, south end of Carmel Beach, Monterey County, Carmel, CA",Cast ashore.,36.547932,-121.930002,395,1965,6,18,L. E. Hair,
MHP,205609,Heterosiphonia,japonica,United States,California,Monterey,"Monterey Peninsula, south end of Carmel Beach, Monterey County, Carmel, CA",Cast ashore.,36.547932,-121.930002,395,1971,4,27,I. A. Abbott,
MHP,205610,Heterosiphonia,japonica,United States,California,Monterey,"Monterey Peninsula, south end of Carmel Beach, Monterey County, Carmel, CA",Cast ashore.,36.547932,-121.930002,395,1965,5,5,I. A. Abbott,
MHP,205617,Heterosiphonia,japonica,United States,California,Monterey,"Monterey Peninsula, south end of Carmel Beach, Monterey County, Carmel, CA",Cast ashore.,36.547932,-121.930002,395,1965,4,11,Nancy Nicholson,
MHP,205618,Heterosiphonia,japonica,United States,California,Monterey,"Monterey Peninsula, Carmel Beach, Monterey County, Carmel, CA",Cast ashore.,36.550377,-121.930409,717,1966,5,7,I. A. Abbott,
MHP,205592,Heterosiphonia,japonica,United States,California,Monterey,"Carmel Beach, Monterey Peninsula, CA",Cast ashore.,36.552969,-121.930635,1015,1966,5,21,I. A. Abbott,
MHP,205608,Heterosiphonia,japonica,United States,California,Monterey,"Monterey Peninsula, Stillwater Cove, Pebble Beach, Monterey County, CA","subtidal, 30 feet",36.56494,-121.94155,400,1973,7,6,A. Nonomura,
MHP,205604,Heterosiphonia,japonica,United States,California,Monterey,"Monterey Peninsula, Pebble Beach, Monterey County, CA","dredged off ""Tage""",36.591418,-121.913902,6642,1970,5,8,M. Nitecki,
MHP,205614,Heterosiphonia,japonica,United States,California,Monterey,"Monterey Peninsula, south end of Moss Beach, San Mateo County, CA",Cast ashore.,36.608616,-121.952237,327,1969,6,28,I. A. Abbott,
MHP,205591,Heterosiphonia,japonica,United States,California,Monterey,"Monterey Peninsula, 7 fathoms off breakwater, Monterey County, CA",dredged about 7 fathoms off breakwater,36.608982,-121.891339,221,1964,6,27,G. J. Hollenberg,
MHP,205600,Heterosiphonia,japonica,United States,California,Monterey,"Monterey Peninsula, near Coast Guard Breakwater, Monterey County, CA",dredged in 6-8 fathoms in a muddy-sandy bottom,36.60912,-121.89194,240,1966,6,30,,
MHP,341443,Heterosiphonia,japonica,United States,California,Monterey,"Monterey Peninsula, south end of Middle Reef of Moss Beach, Monterey County, CA",Cast ashore.,36.61,-121.94722,603,1969,8,20,M. M. Littler,
MHP,205603,Heterosiphonia,japonica,United States,California,Monterey,"Monterey Peninsula, Moss Beach, Monterey County, CA","Cast ashore, mid reef of Moss Beach",36.610373,-121.948976,327,1967,5,23,I. A. Abbott,
MHP,205607,Heterosiphonia,japonica,United States,California,Monterey,"Monterey Peninsula, south end of Monterey Bay, Monterey County, CA",dredged in 8-10 fathoms on shale,36.618904,-121.879372,2143,1965,7,9,L. E. Hair,
MHP,205612,Heterosiphonia,japonica,United States,California,Monterey,"Monterey Peninsula, south end of Monterey Bay, Monterey County, CA","dredged in 10 fathoms, on shale",36.618904,-121.879372,2143,1963,8,2,G. J. Hollenberg,
MHP,205598,Heterosiphonia,japonica,United States,California,Monterey,"Monterey Peninsula, Mussel Point, Pacific Grove, Monterey County, CA","on back of Cryptochiton stelleri, from about 30 feet depth",36.621568,-121.90436,464,1976,4,5,R. Sellers,
MHP,205605,Heterosiphonia,japonica,United States,California,Monterey,"Monterey Peninsula, Asilomar Beach, Monterey County, CA",Cast ashore.,36.624137,-121.94043,1289,1966,5,25,N. L. Nicholson,
MHP,262367,Dasysiphonia,japonica,Japan,Aomori,,"Shiranuka, Shimokita",,41.133333,141.4,3036,1968,3,17,Makoto Yoshizaki,
MHP,272047,Heterosiphonia,japonica,Japan,Aomori,,"Shiranuka, Aomori, Shimokita",,41.133333,141.4,3036,1968,3,17,"Yoshizaki, Makoto",
MHP,725226,Dasysiphonia,japonica,United States,Connecticut,New Haven,"Thimble Island, outer island, Branford, CT",,41.242041,-72.760375,160,2012,6,12,C. Yarish,
MHP,262360,Dasysiphonia,japonica,United States,Connecticut,New London,"Pleasure Beach, Waterford",,41.306165,-72.145698,1192,2013,4,21,Michael J. Wynne,
MHP,262363,Dasysiphonia,japonica,United States,Connecticut,New London,"Niantic Bay, Niantic, Millstone Power Station intake trawl station",,41.308472,-72.171806,,2011,1,19,Craig W. Schneider,
MHP,817861,Heterosiphonia,japonica,United States,Rhode Island,Washington,"Watch Hill Point, Napatree Beach",drift,41.3105556,-71.8630556,,2009,8,26,"Schneider, C. W.",
MHP,262366,Dasysiphonia,japonica,United States,Rhode Island,Washington,"Watch Hill Point, Napatree Beach",,41.310611,-71.863111,,2009,8,26,Craig W. Schneider,
MHP,262362,Dasysiphonia,japonica,United States,Connecticut,New London,"Off Avery Point, Groton",,41.311583,-72.090694,,2011,5,26,Craig W. Schneider,
MHP,262365,Dasysiphonia,japonica,United States,Connecticut,New London,"Baptist Lane jetty, Niantic Bay, Niantic",,41.321339,-72.195467,,2013,3,9,Craig W. Schneider,
MHP,262364,Dasysiphonia,japonica,United States,Rhode Island,Washington,"Misquamicut State Beach, Misquamicut",,41.322667,-71.803806,,2009,8,24,Craig W. Schneider,
MHP,996015,Dasysiphonia,japonica,United States,Rhode Island,Newport,"Fort Adams State Park, Newport, RI",,41.478158,-71.335607,869,2013,8,9,A. C. Mathieson,
MHP,724194,Dasysiphonia,japonica,United States,Massachusetts,,"Wings Neck, Woods Hole, MA",,41.52639,-70.67361,948,2012,5,14,H. Traggis,
MHP,262361,Dasysiphonia,japonica,United States,Massachusetts,Barnstable,"Surf Dr. beach groins, Falmouth",,41.537861,-70.635361,,2011,4,17,Craig W. Schneider,
MHP,1061159,Dasysiphonia,japonica,United States,Massachusetts,Barnstable,"Massachusetts Maritime Academy, Bourne, MA",,41.737518,-70.62503,188,2018,7,23,A. Mauk,
MHP,1061167,Dasysiphonia,japonica,United States,Massachusetts,Barnstable,"Piling, Massachusetts Maritime Academy, Bourne, MA",,41.737518,-70.62503,188,2018,7,23,A. Mauk,
MHP,989378,Dasysiphonia,japonica,United States,Massachusetts,Barnstable,"Massachusetts Maritime Academy, Buzzard Bay, MA",,41.73891,-70.626495,256,2013,8,8,A. C. Mathieson,
MHP,1061251,Dasysiphonia,japonica,United States,Massachusetts,Barnstable,"Sandwich Marina, Sandwich, MA",,41.771395,-70.503214,160,2018,7,23,A. Mauk,
MHP,989245,Dasysiphonia,japonica,United States,Massachusetts,Barnstable,"Sandwich Marina, Sandwich, MA",,41.773457,-70.503296,1351,2013,8,8,A. C. Mathieson,
MHP,992741,Dasysiphonia,japonica,United States,Massachusetts,Barnstable,"Sandwich Marina, Sandwich, MA",,41.773457,-70.503296,1351,2010,7,27,A. C. Mathieson,
MHP,990023,Dasysiphonia,japonica,United States,Massachusetts,Plymouth,"White Horse Beach, MA",,41.930938,-70.557809,1117,2012,5,5,A. C. Mathieson,
MHP,990014,Dasysiphonia,japonica,United States,Massachusetts,Plymouth,"Plymouth Beach, at Long Beach and near the Eel River Area, Plymouth, MA",,41.946421,-70.628425,4555,2012,5,5,A. C. Mathieson,
MHP,989130,Dasysiphonia,japonica,United States,Massachusetts,Plymouth,"Green Harbor Marina and McShane Yacht Sales, Marshfield, MA",,42.085658,-70.650037,3036,2011,5,5,A. C. Mathieson,
MHP,995340,Dasysiphonia,japonica,United States,Massachusetts,Plymouth,"Brant Rock, MA",,42.086214,-70.641148,1716,2013,8,6,A. C. Mathieson,
MHP,725107,Dasysiphonia,japonica,United States,Massachusetts,Plymouth,"Brant Rock, Marshfield, MA",,42.091769,-70.641148,3978,2013,8,9,A. C. Mathieson,
MHP,262369,Dasysiphonia,japonica,Russian Federation,,,"Japan sea, Possjet bay, Shelekh cape",,42.563855,130.94722,37330,1965,7,13,L. Perestenko,
MHP,989393,Dasysiphonia,japonica,United States,Massachusetts,Essex,"Granite Pier, Sandy Bay, near Pigeon Cove, Rockport, MA",,42.673706,-70.632822,3036,2012,12,26,A. C. Mathieson,
MHP,1025873,Dasysiphonia,japonica,United States,Massachusetts,Essex,"Granite Pier, near Pigeon Cove, Sandy Bay, Rockport, MA",,42.673706,-70.632822,3036,2012,12,26,A. C. Mathieson,
MHP,724188,Dasysiphonia,japonica,United States,Massachusetts,,"Cranes Beach, Ipswitch, MA",,42.685459,-70.756486,1500,2013,9,11,R. Bonadede,
MHP,992830,Dasysiphonia,japonica,United States,Massachusetts,Essex,"Salisbury Beach State Park, Salisbury, MA",,42.843147,-70.817552,3036,2016,7,20,A. C. Mathieson,
MHP,724186,Dasysiphonia,japonica,United States,Maine,,"Cashes ledge, 80 miles due East of Cape Ann, Gulf of Maine, SCUBA, ME",,42.912627,-68.954085,6037,2015,6,14,J. Witman,
MHP,724098,Dasysiphonia,japonica,United States,New Hampshire,Rockingham,"Star Island, Isles of Shoals, SCUBA, Rye, NH",,42.975754,-70.613498,325,2013,7,18,H. Traggis,
MHP,725315,Dasysiphonia,japonica,United States,New Hampshire,,"Star Island, Isles of Shoals, Rye, NH",,42.975754,-70.613498,325,2013,7,18,H. Traggis,
MHP,1025913,Dasysiphonia,japonica,United States,New Hampshire,Rockingham,"Gosport Harbor, Isles of Shoals, SCUBA, Rye, NH",,42.978385,-70.611429,267,2017,7,19,L. Harris,
MHP,725103,Dasysiphonia,japonica,United States,New Hampshire,Rockingham,"Jenness Beach, Rye, NH",,42.985257,-70.759535,1024,2014,8,25,A. C. Mathieson,
MHP,1025862,Dasysiphonia,japonica,United States,New Hampshire,Rockingham,"Rye Harbor, Rye, NH",,43.000668,-70.748246,437,2017,2,24,A. C. Mathieson,
MHP,992953,Dasysiphonia,japonica,United States,New Hampshire,Rockingham,"Rye Harbor State Park, Rye, NH",,43.001479,-70.748385,301,2017,2,24,A. C. Mathieson,
MHP,725113,Dasysiphonia,japonica,United States,New Hampshire,Rockingham,"One mile south of Wallis Sands Beach, Rye, NH",,43.016709,-70.731974,591,2014,1,15,A. C. Mathieson,
MHP,725256,Dasysiphonia,japonica,United States,New Hampshire,,"Odiorne Point, Rye, NH",,43.042712,-70.712013,205,2013,9,1,A. C. Mathieson,
MHP,989400,Dasysiphonia,japonica,United States,New Hampshire,Rockingham,"Odiorne Point, Rye, NH",,43.052011,-70.719988,493,2013,9,1,A. C. Mathieson,
MHP,989834,Dasysiphonia,japonica,United States,New Hampshire,Rockingham,"Odiorne State Park, Rye, NH",,43.052011,-70.719988,493,2013,9,1,A. C. Mathieson,
MHP,989890,Dasysiphonia,japonica,United States,New Hampshire,Rockingham,"Estuarine Research Reserve, Depot Road, Stratham, NH",,43.052421,-70.899265,3713,2016,6,27,P. Stacey,
MHP,724085,Dasysiphonia,japonica,United States,New Hampshire,,"Fort Stark, Newcastle, NH",,43.058681,-70.712429,369,2014,1,15,R. Eriksen,
MHP,725105,Dasysiphonia,japonica,United States,New Hampshire,Rockingham,"Fort Stark, Newcastle, NH",,43.058681,-70.712429,369,2013,9,24,A. C. Mathieson,
MHP,725104,Dasysiphonia,japonica,United States,Maine,,"Fort Foster, Kittery, ME",,43.06629,-70.691924,317,2012,9,30,A. C. Mathieson,
MHP,1025918,Dasysiphonia,japonica,United States,New Hampshire,Rockingham,"Seagrass Net Site within Great Bay, NH",,43.067792,-70.835929,1809,2017,6,26,F. Short,
MHP,992218,Dasysiphonia,japonica,United States,Maine,York,"Fort Foster, Kittery, ME",,43.068682,-70.69209,485,,,,A. C. Mathieson,
MHP,724196,Dasysiphonia,japonica,United States,New Hampshire,,"near Nannies Island, Great Bay, Newfield, NH",,43.069077,-70.862751,20,2012,8,7,F. Short,
MHP,725208,Dasysiphonia,japonica,United States,New Hampshire,,"hydrographic buoy within middle of Great Bay, NH",,43.069791,-70.883218,647,2012,12,16,A. C. Mathieson,
MHP,988258,Dasysiphonia,japonica,United States,New Hampshire,Rockingham,"middle of Great Bay at Seagrass net site, NH",,43.070931,-70.876355,1766,2015,7,3,F. Short,
MHP,989817,Dasysiphonia,japonica,United States,New Hampshire,Rockingham,"Seagrass Net NH9.2A, Great Bay, NH",,43.070931,-70.872321,5110,2016,7,6,F. Short,
MHP,988168,Dasysiphonia,japonica,United States,New Hampshire,Rockingham,"Middle of central mud flat within Great Bay and Seagrass Net Site, NH",,43.071558,-70.877643,2533,2015,10,30,F. Short,
MHP,995917,Dasysiphonia,japonica,United States,New Hampshire,Rockingham,"University of New Hampshire's Coastal Marine Laboratory, Newcastle, NH",,43.07172,-70.709751,267,2013,8,5,A. C. Mathieson,
MHP,1061274,Dasysiphonia,japonica,United States,New Hampshire,Rockingham,"UNH Marine Lab Dock, New Castle, NH",,43.071879,-70.711712,70,2018,7,25,A. Mauk,
MHP,992216,Dasysiphonia,japonica,United States,New Hampshire,Rockingham,"Nannie Island, SCUBA, Great Bay, NH",,43.073059,-70.870948,2995,,,,F. Short,
MHP,725090,Dasysiphonia,japonica,United States,New Hampshire,,"Central Great Bay, Near Lubberland Creek Mouth, Newmarket, NH",,43.073969,-70.906245,502,2012,8,7,F. Short,
MHP,725091,Dasysiphonia,japonica,United States,New Hampshire,Rockingham,"Central Great Bay, near Lubberland Creek mouth, Newmarket, NH",,43.073969,-70.906245,502,2012,8,7,F. Short,
MHP,988089,Dasysiphonia,japonica,United States,New Hampshire,Rockingham,"offshore from Lubberland Creek, Newmarket, NH",,43.074194,-70.909835,355,2015,4,20,F. Short,
MHP,988237,Dasysiphonia,japonica,United States,New Hampshire,Rockingham,"offshore from Lubberland Creek, Newmarket, NH",,43.074194,-70.909835,355,2015,7,30,F. Short,
MHP,989856,Dasysiphonia,japonica,United States,New Hampshire,Rockingham,"Four Tree Island, Portsmouth, NH",,43.076755,-70.748108,205,2016,7,25,D. Burdick,
MHP,992949,Dasysiphonia,japonica,United States,New Hampshire,Rockingham,"Four Tree Island, Portsmouth, NH",,43.076755,-70.748108,205,2016,7,26,A. C. Mathieson,
MHP,992952,Dasysiphonia,japonica,United States,New Hampshire,Rockingham,"Four Tree Island, Portsmouth, NH",,43.076755,-70.748108,205,2016,10,18,D. Burdick,
MHP,989927,Dasysiphonia,japonica,United States,New Hampshire,Rockingham,"mouth of Lubberland Creek, Newmarket, NH",,43.076916,-70.91941,2001,2015,8,19,F. Short,
MHP,995888,Dasysiphonia,japonica,United States,New Hampshire,Rockingham,"Green Beach, between Thomas and Woodman Points, Great Bay, NH",,43.077804,-70.859919,501,2016,6,20,F. Short,
MHP,988078,Dasysiphonia,japonica,United States,New Hampshire,Rockingham,"Thomas Point, Great Bay, Newington, NH",,43.082482,-70.863266,245,2015,7,3,F. Short,
MHP,992948,Dasysiphonia,japonica,United States,New Hampshire,Rockingham,"offshore and south of Thomas Point, Newington, NH",,43.082482,-70.863266,245,2016,8,5,F. Short,
MHP,729542,Dasysiphonia,japonica,United States,New Hampshire,Strafford,"Near Footman Island, Great Bay, Durham, NH",,43.086607,-70.871817,71,2014,11,25,F. Short,
MHP,1025925,Dasysiphonia,japonica,United States,New Hampshire,Strafford,"Adams Point, at Jackson Estuarine Laboratory Dock Area, Durham, NH",,43.089746,-70.866168,386,2017,8,29,A. C. Mathieson,
MHP,992210,Dasysiphonia,japonica,United States,New Hampshire,Rockingham,"Adams Point, Jackson Estuarine Laboratory dock, Durham, NH",,43.089809,-70.866168,602,,,,A. C. Mathieson,
MHP,1025836,Dasysiphonia,japonica,United States,New Hampshire,Strafford,"Adams Point, Durham, NH",,43.089809,-70.866168,602,2017,9,30,A. C. Mathieson,
MHP,1025910,Dasysiphonia,japonica,United States,New Hampshire,Strafford,"Adams Point, Durham, NH",,43.089809,-70.866168,602,2017,3,1,A. C. Mathieson,
MHP,992950,Dasysiphonia,japonica,United States,New Hampshire,Rockingham,"voucher specimens for aerial photography, Little Bay to Great Bay, NH",,43.091286,-70.862653,2208,2016,9,8,D. Burdick,
MHP,725214,Dasysiphonia,japonica,United States,New Hampshire,,"Jackson Estuarine Laboratory, Adams Point, Durham, NH",,43.092201,-70.8646,198,2012,12,12,A. C. Mathieson,
MHP,989238,Dasysiphonia,japonica,United States,New Hampshire,Strafford,"Adams Point, Durham, NH",,43.092251,-70.864785,365,2014,1,29,A. C. Mathieson,
MHP,993029,Dasysiphonia,japonica,United States,New Hampshire,Strafford,"Adams Point, Docks out at Jackson Estuarine Laboratory, Durham, NH",,43.092251,-70.864785,365,2015,12,12,A. C. Mathieson,
MHP,725261,Dasysiphonia,japonica,United States,New Hampshire,,"Adams Point, Durham, NH",,43.092478,-70.867442,409,2012,11,29,A. C. Mathieson,
MHP,725211,Dasysiphonia,japonica,United States,New Hampshire,,"Adams Point, near boat ramp, Durham, NH",,43.095137,-70.867327,111,2012,12,6,A. C. Mathieson,
MHP,725111,Dasysiphonia,japonica,United States,New Hampshire,Rockingham,"Little Bay, Newington, NH",,43.105608,-70.860971,1643,2014,7,28,K. Ward,
MHP,1025896,Dasysiphonia,japonica,United States,New Hampshire,Strafford,"Dover Point, Dover, NH",,43.11916,-70.827568,142,2017,3,17,A. C. Mathieson,
MHP,724126,Dasysiphonia,japonica,United States,New Hampshire,,"Dover Point, Dover, NH",,43.119935,-70.827653,92,2013,3,7,A. C. Mathieson,
MHP,725096,Dasysiphonia,japonica,United States,New Hampshire,,"Dover Point, Dover, NH",,43.119935,-70.827653,92,2014,8,12,A. C. Mathieson,
MHP,989754,Dasysiphonia,japonica,United States,New Hampshire,Strafford,"Hilton Park, Dover Point, Dover, NH",,43.120961,-70.8298,1617,2014,4,3,C. Jones,
MHP,996096,Dasysiphonia,japonica,United States,New Hampshire,Rockingham,"Fox Point, Newington, NH",,43.121198,-70.858946,602,2017,4,5,A. C. Mathieson,
MHP,725264,Dasysiphonia,japonica,United States,New Hampshire,,"Fox Point, Newington, NH",,43.121361,-70.855406,339,2014,8,12,A. C. Mathieson,
MHP,725101,Dasysiphonia,japonica,United States,New Hampshire,Strafford,"Dover Point, Hilton Park, Dover, NH",,43.121721,-70.827767,314,2013,10,22,A. C. Mathieson,
MHP,989251,Dasysiphonia,japonica,United States,New Hampshire,Strafford,"Dover Point, Dover, NH",,43.122527,-70.829059,602,2014,4,3,D. Durant,
MHP,993024,Dasysiphonia,japonica,United States,New Hampshire,Strafford,"Dover Point, Hilton Park, Dover, NH",,43.122527,-70.829059,602,2015,9,17,M. Larson,
MHP,993025,Dasysiphonia,japonica,United States,New Hampshire,Strafford,"Dover Point, Hilton Park, Dover, NH",,43.122527,-70.829059,602,2016,10,18,D. Burdick,
MHP,993028,Dasysiphonia,japonica,United States,New Hampshire,Strafford,"Dover Point, Hilton Park, Dover, NH",,43.122527,-70.829059,602,2016,10,18,A. C. Mathieson,
MHP,993027,Dasysiphonia,japonica,United States,New Hampshire,Strafford,"at Ray Grizzle's oyster cultivation site near Wagon Hill Farm, Oyster River, Durham, NH",,43.124438,-70.870982,288,2016,8,23,A. C. Mathieson,
MHP,724171,Dasysiphonia,japonica,United States,New Hampshire,,"Boston Harbor Road, Little Bay, Dover, NH",,43.126475,-70.841723,647,1012,7,20,K. McKeton,
MHP,724172,Dasysiphonia,japonica,United States,New Hampshire,,"Boston Harbor Road, Little Bay, Dover, NH",,43.126475,-70.841723,647,2012,7,20,K. McKeton,
MHP,724175,Dasysiphonia,japonica,United States,New Hampshire,,"Boston Harbor Road, Little Bay, Dover, NH",,43.126475,-70.841723,647,2015,7,20,K. McKeton,
MHP,992208,Dasysiphonia,japonica,United States,New Hampshire,Strafford,"between the mouth of the Oyster River and Durham's sewage treatment plant, Durham, NH",,43.129483,-70.922221,3109,,,,F. Short,
MHP,995963,Dasysiphonia,japonica,United States,New Hampshire,Strafford,"Cedar Point, Little Bay, near Scammel Bridge area, Dover, NH",,43.129531,-70.848668,301,2017,4,6,A. C. Mathieson,
MHP,988096,Dasysiphonia,japonica,United States,New Hampshire,Strafford,"Mouth of Bunker Creek, Oyster River, Durham, NH",,43.137883,-70.887308,210,2015,4,20,F. Short,
MHP,992234,Dasysiphonia,japonica,United States,New Hampshire,Strafford,"Dover Point, Dover, NH",,43.138085,-70.838372,2131,,,,A. C. Mathieson,
MHP,992677,Dasysiphonia,japonica,United States,Maine,York,"Long Sands, York, ME",,43.163834,-70.61699,309,2012,8,2,A. C. Mathieson,
MHP,995314,Dasysiphonia,japonica,United States,Maine,York,"York Beach, York, ME",,43.163834,-70.61699,309,2017,2,4,C. Hosmer,
MHP,990008,Dasysiphonia,japonica,United States,New Hampshire,Strafford,"mouth of the Cocheco River, Dover, NH",,43.204888,-70.901501,7162,2016,8,19,F. Short,
MHP,724106,Dasysiphonia,japonica,United States,Maine,York,"Wood Island, mouth of the Saco River and at the entrance of Biddeford Pool, ME",,43.456475,-70.333659,642,2013,8,14,A. C. Mathieson,
MHP,725314,Dasysiphonia,japonica,United States,Maine,,"Pond Cove, Cape Elizabeth, ME",,43.609262,-70.216007,202,2013,8,23,F. Short,
MHP,725326,Dasysiphonia,japonica,United States,Maine,,"Pond Cove, Cape Elizabeth, ME",,43.609262,-70.216007,202,2013,10,7,A. C. Mathieson,
MHP,1061101,Dasysiphonia,japonica,United States,Maine,Cumberland,"Brewer Freeport Marina, Freeport, ME",,43.820698,-70.105341,168,2018,7,25,A. Mauk,
MHP,792128,Heterosiphonia,japonica,Japan,,,"Rishiri Island, Hokkaido",,45.180556,141.243056,20397,1968,8,29,T. Kaneko,
MHP,1008221,Heterosiphonia,japonica,United States,Washington,San Juan,"Smith Island, south of San Juan Island",5 fathoms,48.318969,-122.842815,797,1965,6,7,Elizabeth L. Venrick,
