longitude,latitude
-70.709751,43.07172
-70.711712,43.071879
-70.870948,43.073059
-70.906245,43.073969
-70.906245,43.073969
-70.909835,43.074194
-70.909835,43.074194
-70.748108,43.076755
-70.748108,43.076755
-70.748108,43.076755
-70.91941,43.076916
-70.859919,43.077804
-70.863266,43.082482
-70.863266,43.082482
-70.871817,43.086607
-70.866168,43.089746
-70.866168,43.089809
-70.866168,43.089809
-70.866168,43.089809
-70.862653,43.091286
-70.8646,43.092201
-70.864785,43.092251
-70.864785,43.092251
-70.867442,43.092478
-70.867327,43.095137
-70.860971,43.105608
-70.827568,43.11916
-70.827653,43.119935
-70.827653,43.119935
-70.8298,43.120961
-70.858946,43.121198
-70.855406,43.121361
-70.827767,43.121721
-70.829059,43.122527
-70.829059,43.122527
-70.829059,43.122527
-70.829059,43.122527
-70.870982,43.124438
-70.841723,43.126475
-70.841723,43.126475
-70.841723,43.126475
-70.922221,43.129483
-70.848668,43.129531
-70.887308,43.137883
-70.838372,43.138085
-70.61699,43.163834
-70.61699,43.163834
-70.901501,43.204888
-70.333659,43.456475
-70.216007,43.609262
-70.216007,43.609262
-70.105341,43.820698
141.243056,45.180556
-122.842815,48.318969
-122.924344,48.440933
-131.726051,55.362768
11.52625,58.29601
137.04071,36.93383
11.49396,58.27129
11.47071,58.2613
11.386,58.26128
11.76883,58.07788
11.52625,58.29601
11.52585,58.29708
11.33504,58.28556
11.386,58.26128
11.37199,58.24367
11.37823,58.25097
134.054,34.403
11.37199,58.24367
11.54675,58.31439
11.79902,58.10665
11.33504,58.28556
11.342067,58.210117
11.13207,58.36297
11.6659,57.95744
11.378217,58.250967
11.80819,58.10199
140.935364,41.574361
11.7785,58.06145
11.50479,58.27868
11.33117,58.29878
11.386,58.26128
11.335033,58.28555
132.123,33.4167
11.37823,58.25097
11.13148,58.36297
11.79511,58.09397
11.331167,58.298767
11.79511,58.09397
11.34208,58.21012
11.77934,58.0633
135.16027,34.331666
138.23472,34.60138
11.54892,57.92798
130.026951,32.529907
130.294515,32.547283
129.754169,32.582923
132.326825,33.498735
132.326825,33.498735
132.326825,33.498735
132.326825,33.498735
132.328329,33.500197
130.463657,33.787225
130.442487,33.818257
130.442487,33.818257
132.689926,33.835233
130.52615,33.884871
130.678447,33.926481
132.547441,34.173797
133.223379,34.260899
132.313402,34.264873
132.307083,34.271029
132.461546,34.344987
132.462404,34.345272
132.462404,34.345272
132.462404,34.345272
132.462404,34.345272
132.462404,34.345272
132.462404,34.345272
132.462404,34.345272
132.462404,34.345272
132.461236,34.345589
132.426303,34.353711
132.427191,34.362722
136.554202,34.371206
136.916535,34.37325
136.916535,34.37325
134.89842,34.375163
134.294024,34.469317
134.199216,34.502273
134.199216,34.502273
134.199216,34.502273
136.775086,34.522919
138.220994,34.59996
138.220994,34.59996
138.220994,34.59996
138.220994,34.59996
138.970978,34.660771
138.944245,34.680051
139.599077,35.143784
140.408131,35.24557
139.374554,35.289777
139.374554,35.289777
139.480641,35.298456
139.480641,35.298456
139.481041,35.298929
139.480427,35.299218
139.480773,35.299687
139.480913,35.299804
139.508487,35.304299
140.232689,35.514765
120.379325,36.066207
133.083551,36.138732
140.673859,36.596009
140.73063,36.72185
140.766851,36.793918
140.892555,36.934849
140.962937,36.963797
138.844939,37.869202
141.123612,38.332994
141.484275,38.391518
121.621809,38.858447
139.549438,39.195453
140.912772,41.546392
140.813887,41.761864
140.813887,41.761864
140.722225,41.765353
140.722225,41.765353
140.722225,41.765353
139.464206,42.153727
139.464206,42.153727
140.966214,42.313635
140.966214,42.313635
140.777931,42.515725
140.694839,42.559872
140.057724,42.703626
140.910454,43.212146
140.910454,43.212146
140.910454,43.212146
140.607141,43.305396
141.338355,43.739835
141.628884,43.947737
141.700354,44.372354
141.316862,44.424848
141.316862,44.424848
141.408873,44.434655
141.029922,45.440429
138.234379,38.033333
138.234379,38.033333
140.164205,35.119691
140.755027,40.841235
140.755027,40.841235
140.755027,40.841235
139.401142,35.312665
139.924813,40.650953
128.85911,32.694413
128.85911,32.694413
128.85911,32.694413
128.85911,32.694413
128.85911,32.694413
128.862715,32.698819
141.527937,40.548019
141.527937,40.548019
141.527937,40.548019
141.527937,40.548019
141.527937,40.548019
141.527937,40.548019
141.527937,40.548019
141.527937,40.548019
141.527937,40.548019
141.527937,40.548019
141.527937,40.548019
141.527937,40.548019
136.745193,34.294469
136.745193,34.294469
136.745193,34.294469
136.745193,34.294469
136.745193,34.294469
136.745193,34.294469
136.745193,34.294469
136.745193,34.294469
136.745193,34.294469
136.745193,34.294469
136.745193,34.294469
136.745193,34.294469
136.745193,34.294469
136.745193,34.294469
136.745193,34.294469
136.745193,34.294469
136.745193,34.294469
132.171567,33.779212
139.57063,35.263163
135.072838,33.913824
135.072838,33.913824
141.452213,41.34536
141.452213,41.34536
141.452213,41.34536
141.452213,41.34536
141.452213,41.34536
132.431311,34.34118
132.431311,34.34118
132.431311,34.34118
132.431311,34.34118
140.670381,36.587861
140.670381,36.587861
140.670381,36.587861
129.303764,34.190238
140.408723,35.259473
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
139.540728,35.302334
