species,longitude,latitude
Caulerpa_taxifolia,166.5899963,-22.51000023
Caulerpa_taxifolia,166.6699982,-22.51000023
Caulerpa_taxifolia,166.5200043,-22.5
Caulerpa_taxifolia,166.6199951,-22.48999977
Caulerpa_taxifolia,166.6900024,-22.47999954
Caulerpa_taxifolia,166.6000061,-22.47999954
Caulerpa_taxifolia,166.5299988,-22.46999931
Caulerpa_taxifolia,166.5399933,-22.46999931
Caulerpa_taxifolia,166.5899963,-22.46999931
Caulerpa_taxifolia,166.5200043,-22.45999908
Caulerpa_taxifolia,166.4499969,-22.45000076
Caulerpa_taxifolia,166.4799957,-22.43000031
Caulerpa_taxifolia,166.5599976,-22.43000031
Caulerpa_taxifolia,166.4900055,-22.42000008
Caulerpa_taxifolia,166.7100067,-22.42000008
Caulerpa_taxifolia,166.6000061,-22.42000008
Caulerpa_taxifolia,166.5099945,-22.40999985
Caulerpa_taxifolia,166.6999969,-22.40999985
Caulerpa_taxifolia,166.4100037,-22.39999962
Caulerpa_taxifolia,166.5,-22.38999939
Caulerpa_taxifolia,166.4900055,-22.38999939
Caulerpa_taxifolia,152.6167,-22.3833
Caulerpa_taxifolia,152.620278,-22.381667
Caulerpa_taxifolia,166.5200043,-22.37999916
Caulerpa_taxifolia,166.4299927,-22.37999916
Caulerpa_taxifolia,166.4799957,-22.37999916
Caulerpa_taxifolia,166.3899994,-22.37000084
Caulerpa_taxifolia,166.2700043,-22.37000084
Caulerpa_taxifolia,166.3800049,-22.37000084
Caulerpa_taxifolia,166.5399933,-22.37000084
Caulerpa_taxifolia,166.99094,-22.36876
Caulerpa_taxifolia,166.4299927,-22.36000061
Caulerpa_taxifolia,166.3899994,-22.36000061
Caulerpa_taxifolia,166.3800049,-22.36000061
Caulerpa_taxifolia,166.3000031,-22.35000038
Caulerpa_taxifolia,166.3999939,-22.35000038
Caulerpa_taxifolia,166.3099976,-22.34000015
Caulerpa_taxifolia,166.3899994,-22.34000015
Caulerpa_taxifolia,166.3399963,-22.34000015
Caulerpa_taxifolia,166.4100037,-22.32999992
Caulerpa_taxifolia,166.3600006,-22.32999992
Caulerpa_taxifolia,166.3600006,-22.31999969
Caulerpa_taxifolia,166.4100037,-22.31999969
Caulerpa_taxifolia,166.4199982,-22.30999947
Caulerpa_taxifolia,166.3099976,-22.30999947
Caulerpa_taxifolia,166.4100037,-22.29999924
Caulerpa_taxifolia,166.3300018,-22.29999924
Caulerpa_taxifolia,166.3099976,-22.29999924
Caulerpa_taxifolia,166.4199982,-22.29999924
Caulerpa_taxifolia,166.31043,-22.28537
Caulerpa_taxifolia,166.40748,-22.28456
Caulerpa_taxifolia,166.3500061,-22.28000069
Caulerpa_taxifolia,166.5599976,-22.28000069
Caulerpa_taxifolia,166.3000031,-22.27000046
Caulerpa_taxifolia,166.25,-22.27000046
Caulerpa_taxifolia,166.3999939,-22.27000046
Caulerpa_taxifolia,166.2799988,-22.26000023
Caulerpa_taxifolia,166.3000031,-22.23999977
Caulerpa_taxifolia,150.215,-22.235
Caulerpa_taxifolia,166.2599945,-22.22999954
Caulerpa_taxifolia,166.2899933,-22.21999931
Caulerpa_taxifolia,166.1799927,-22.21999931
Caulerpa_taxifolia,166.25,-22.20999908
Caulerpa_taxifolia,166.2400055,-22.20999908
Caulerpa_taxifolia,166.1499939,-22.20000076
Caulerpa_taxifolia,166.1999969,-22.20000076
Caulerpa_taxifolia,166.1199951,-22.20000076
Caulerpa_taxifolia,166.2400055,-22.18000031
Caulerpa_taxifolia,166.1499939,-22.17000008
Caulerpa_taxifolia,166.2400055,-22.17000008
Caulerpa_taxifolia,166.1399994,-22.15999985
Caulerpa_taxifolia,152.5333,-22.1472
Caulerpa_taxifolia,166.1699982,-22.13999939
Caulerpa_taxifolia,150.033333,-22.133333
Caulerpa_taxifolia,166.1399994,-22.12999916
Caulerpa_taxifolia,166.1900024,-22.12000084
Caulerpa_taxifolia,166.1600037,-22.11000061
Caulerpa_taxifolia,166.0899963,-22.10000038
Caulerpa_taxifolia,166.0299988,-22.07999992
Caulerpa_taxifolia,166.0800018,-22.07999992
Caulerpa_taxifolia,166.0500031,-22.06999969
Caulerpa_taxifolia,165.9900055,-22.06999969
Caulerpa_taxifolia,152.675,-22.068611
Caulerpa_taxifolia,166.0200043,-22.04000092
Caulerpa_taxifolia,166.0200043,-22.03000069
Caulerpa_taxifolia,165.9700012,-22.01000023
Caulerpa_taxifolia,165.9400024,-21.95999908
Caulerpa_taxifolia,165.9199982,-21.95000076
Caulerpa_taxifolia,165.8099976,-21.87999916
Caulerpa_taxifolia,151.2486,-21.8097
Caulerpa_taxifolia,114.984722,-21.46
Caulerpa_taxifolia,149.425,-21.425
Caulerpa_taxifolia,149.3333,-21.3833
Caulerpa_taxifolia,159.36337,-21.38254
Caulerpa_taxifolia,152.0194,-21.3764
Caulerpa_taxifolia,149.3181,-21.3681
Caulerpa_taxifolia,149.317545,-21.365312
Caulerpa_taxifolia,167.94088,-21.36141
Caulerpa_taxifolia,152.335,-21.345
Caulerpa_taxifolia,149.575,-21.295
Caulerpa_taxifolia,149.1667,-21.15
Caulerpa_taxifolia,-175.154077,-21.113584
Caulerpa_taxifolia,149.25,-21.1
Caulerpa_taxifolia,-40.8,-21.067
Caulerpa_taxifolia,167.45317,-21.00808
Caulerpa_taxifolia,149.1569,-21
Caulerpa_taxifolia,149.345,-20.965
Caulerpa_taxifolia,149.245,-20.945
Caulerpa_taxifolia,165.33662,-20.93508
Caulerpa_taxifolia,150.955,-20.935
Caulerpa_taxifolia,165.4328,-20.93487
Caulerpa_taxifolia,167.25953,-20.92046
Caulerpa_taxifolia,149.02582,-20.90691
Caulerpa_taxifolia,149.025816,-20.906906
Caulerpa_taxifolia,115.441315,-20.845898
Caulerpa_taxifolia,149.315,-20.845
Caulerpa_taxifolia,115.485714,-20.807136
Caulerpa_taxifolia,150.275,-20.755
Caulerpa_taxifolia,115.359817,-20.746233
Caulerpa_taxifolia,115.3595,-20.7394
Caulerpa_taxifolia,115.359433,-20.739383
Caulerpa_taxifolia,115.412733,-20.688317
Caulerpa_taxifolia,115.4131,-20.6883
Caulerpa_taxifolia,115.415683,-20.682767
Caulerpa_taxifolia,164.27997,-20.66284
Caulerpa_taxifolia,116.436833,-20.64975
Caulerpa_taxifolia,166.3300018,-20.60000038
Caulerpa_taxifolia,116.65,-20.6
Caulerpa_taxifolia,166.3300018,-20.55999947
Caulerpa_taxifolia,149.059147,-20.523574
Caulerpa_taxifolia,149.05915,-20.52357
Caulerpa_taxifolia,149.0667,-20.5167
Caulerpa_taxifolia,116.541983,-20.482267
Caulerpa_taxifolia,115.516667,-20.466667
Caulerpa_taxifolia,118.5667,-20.3167
Caulerpa_taxifolia,164.18682,-20.12029
Caulerpa_taxifolia,148.45915,-20.07358
Caulerpa_taxifolia,148.459153,-20.073577
Caulerpa_taxifolia,148.2917,-20.0375
Caulerpa_taxifolia,148.2778,-20.0306
Caulerpa_taxifolia,148.2694,-20.0181
Caulerpa_taxifolia,148.2667,-20.0167
Caulerpa_taxifolia,148.275822,-20.006912
Caulerpa_taxifolia,148.27582,-20.00691
Caulerpa_taxifolia,158.4662,-19.91123
Caulerpa_taxifolia,148.135,-19.905
Caulerpa_taxifolia,158.2764,-19.90412
Caulerpa_taxifolia,165.62079,-19.84998
Caulerpa_taxifolia,147.75,-19.7
Caulerpa_taxifolia,147.1139,-19.3903
Caulerpa_taxifolia,158.96466,-19.29906
Caulerpa_taxifolia,147.0625,-19.2792
Caulerpa_taxifolia,146.82584,-19.27359
Caulerpa_taxifolia,146.825837,-19.273586
Caulerpa_taxifolia,146.8167,-19.2667
Caulerpa_taxifolia,147.0583,-19.2639
Caulerpa_taxifolia,146.8139,-19.2486
Caulerpa_taxifolia,146.8139,-19.2472
Caulerpa_taxifolia,146.8389,-19.2458
Caulerpa_taxifolia,146.8028,-19.2389
Caulerpa_taxifolia,146.7889,-19.2389
Caulerpa_taxifolia,146.7528,-19.2389
Caulerpa_taxifolia,148.2,-19.2
Caulerpa_taxifolia,146.75,-19.1833
Caulerpa_taxifolia,146.7667,-19.1833
Caulerpa_taxifolia,146.7667,-19.1667
Caulerpa_taxifolia,146.8500061,-19.16500092
Caulerpa_taxifolia,146.7819,-19.1347
Caulerpa_taxifolia,147.185,-19.125
Caulerpa_taxifolia,146.85,-19.1167
Caulerpa_taxifolia,146.5333,-19.1139
Caulerpa_taxifolia,178.21395,-19.104867
Caulerpa_taxifolia,158.9299927,-19.03000069
Caulerpa_taxifolia,146.935,-18.975
Caulerpa_taxifolia,146.895,-18.955
Caulerpa_taxifolia,147.525,-18.925
Caulerpa_taxifolia,178.5167,-18.8667
Caulerpa_taxifolia,146.785,-18.865
Caulerpa_taxifolia,178.46,-18.85
Caulerpa_taxifolia,178.5309,-18.8462
Caulerpa_taxifolia,146.955,-18.815
Caulerpa_taxifolia,147.5278,-18.7986
Caulerpa_taxifolia,147.265,-18.795
Caulerpa_taxifolia,146.355,-18.775
Caulerpa_taxifolia,178.494,-18.7743
Caulerpa_taxifolia,178.568,-18.7675
Caulerpa_taxifolia,178.526,-18.7672
Caulerpa_taxifolia,178.519,-18.7558
Caulerpa_taxifolia,146.955,-18.755
Caulerpa_taxifolia,178.527,-18.7541
Caulerpa_taxifolia,121.65,-18.7
Caulerpa_taxifolia,147.1069,-18.6931
Caulerpa_taxifolia,178.5333,-18.6333
Caulerpa_taxifolia,147.0528,-18.6306
Caulerpa_taxifolia,147.050894,-18.615328
Caulerpa_taxifolia,146.565,-18.535
Caulerpa_taxifolia,147.539722,-18.518889
Caulerpa_taxifolia,147.005,-18.485
Caulerpa_taxifolia,146.025844,-18.273592
Caulerpa_taxifolia,146.02584,-18.27359
Caulerpa_taxifolia,147.382778,-18.256111
Caulerpa_taxifolia,146.2875,-18.1444
Caulerpa_taxifolia,146.5333,-18.0667
Caulerpa_taxifolia,146.1519,-18.0083
Caulerpa_taxifolia,146.505,-17.995
Caulerpa_taxifolia,122.233333,-17.966667
Caulerpa_taxifolia,122.211306,-17.954722
Caulerpa_taxifolia,122.233333,-17.95
Caulerpa_taxifolia,146.405,-17.945
Caulerpa_taxifolia,146.1389,-17.9389
Caulerpa_taxifolia,122.2083,-17.927717
Caulerpa_taxifolia,-38.979167,-17.875
Caulerpa_taxifolia,146.185,-17.855
Caulerpa_taxifolia,146.125,-17.845
Caulerpa_taxifolia,122.236074,-17.671522
Caulerpa_taxifolia,178.97972,-17.5825
Caulerpa_taxifolia,122.161733,-17.582
Caulerpa_taxifolia,122.152111,-17.579167
Caulerpa_taxifolia,118.941,-17.5607
Caulerpa_taxifolia,118.96316,-17.50915
Caulerpa_taxifolia,118.96272,-17.50573
Caulerpa_taxifolia,122.14,-17.48
Caulerpa_taxifolia,146.485,-17.315
Caulerpa_taxifolia,146.425,-17.255
Caulerpa_taxifolia,119.612233,-17.080083
Caulerpa_taxifolia,149.1,-17
Caulerpa_taxifolia,-39.078611,-16.897778
Caulerpa_taxifolia,-39.091389,-16.895833
Caulerpa_taxifolia,178.405733,-16.776667
Caulerpa_taxifolia,179.42605,-16.56015
Caulerpa_taxifolia,123.071667,-16.443333
Caulerpa_taxifolia,123.130448,-16.437491
Caulerpa_taxifolia,123.066837,-16.436102
Caulerpa_taxifolia,123.055448,-16.434713
Caulerpa_taxifolia,123.071667,-16.433333
Caulerpa_taxifolia,123.066667,-16.433333
Caulerpa_taxifolia,145.58418,-16.41527
Caulerpa_taxifolia,145.584177,-16.415267
Caulerpa_taxifolia,179.298717,-16.30825
Caulerpa_taxifolia,179.478033,-16.276017
Caulerpa_taxifolia,179.739683,-16.1835
Caulerpa_taxifolia,123.601217,-16.096717
Caulerpa_taxifolia,123.1957,-15.5192
Caulerpa_taxifolia,123.15,-15.5
Caulerpa_taxifolia,124.23597,-15.33242
Caulerpa_taxifolia,145.3333,-14.95
Caulerpa_taxifolia,124.661,-14.93457
Caulerpa_taxifolia,145.51427,-14.74829
Caulerpa_taxifolia,145.515068,-14.746738
Caulerpa_taxifolia,145.5125,-14.74422
Caulerpa_taxifolia,145.51427,-14.74291
Caulerpa_taxifolia,145.513123,-14.742849
Caulerpa_taxifolia,145.515068,-14.74146
Caulerpa_taxifolia,145.4611,-14.6958
Caulerpa_taxifolia,145.46519,-14.69058
Caulerpa_taxifolia,145.4641,-14.68961
Caulerpa_taxifolia,145.466179,-14.689238
Caulerpa_taxifolia,145.466457,-14.688404
Caulerpa_taxifolia,145.46479,-14.688126
Caulerpa_taxifolia,145.466,-14.6878
Caulerpa_taxifolia,145.46556,-14.68708
Caulerpa_taxifolia,145.535,-14.685
Caulerpa_taxifolia,145.45,-14.6833
Caulerpa_taxifolia,145.45,-14.6667
