gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
1933676676,848e55dc-f762-11e1-a439-00145eb45e9a,f532752e-4d4a-4ae2-99c8-225e309b23fd,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Heterosiphonia japonica Yendo,Heterosiphonia japonica Yendo,Yendo,JP,,Aomori,,,4fd82480-ea1c-11da-8db4-b8a03c50a862,,,,,,,,,1967-08-06T00:00:00Z,6,8,1967,2659055,7682935,PRESERVED_SPECIMEN,TNS,AL,168738,,,,CC_BY_4_0,,,,,2019-09-20T20:03:39.528Z,,
1933676675,848e55dc-f762-11e1-a439-00145eb45e9a,bbe0f6ce-8873-4a3f-9ffe-9f3ad38fa0fd,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Heterosiphonia japonica Yendo,Heterosiphonia japonica Yendo,Yendo,JP,,Aomori,,,4fd82480-ea1c-11da-8db4-b8a03c50a862,,,,,,,,,1967-08-06T00:00:00Z,6,8,1967,2659055,7682935,PRESERVED_SPECIMEN,TNS,AL,168739,,,,CC_BY_4_0,,,,,2019-09-20T20:03:39.523Z,,
1933676667,848e55dc-f762-11e1-a439-00145eb45e9a,b5959553-171f-4d47-b6b4-2c1a4d801fb9,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Heterosiphonia japonica Yendo,Heterosiphonia japonica Yendo,Yendo,JP,,Aomori,,,4fd82480-ea1c-11da-8db4-b8a03c50a862,,,,,,,,,1967-07-28T00:00:00Z,28,7,1967,2659055,7682935,PRESERVED_SPECIMEN,TNS,AL,168723,,,,CC_BY_4_0,,,,,2019-09-20T20:03:39.518Z,,
1933676660,848e55dc-f762-11e1-a439-00145eb45e9a,40796a55-cf20-4412-bc8f-074ce0d2c399,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Heterosiphonia japonica Yendo,Heterosiphonia japonica Yendo,Yendo,JP,,Aomori,,,4fd82480-ea1c-11da-8db4-b8a03c50a862,,,,,,,,,1967-08-06T00:00:00Z,6,8,1967,2659055,7682935,PRESERVED_SPECIMEN,TNS,AL,168737,,,,CC_BY_4_0,,,,,2019-09-20T20:03:39.512Z,,
1933676652,848e55dc-f762-11e1-a439-00145eb45e9a,7532d54b-d5d7-4123-899a-e51fd3c541be,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Heterosiphonia japonica Yendo,Heterosiphonia japonica Yendo,Yendo,JP,,Aomori,,,4fd82480-ea1c-11da-8db4-b8a03c50a862,,,,,,,,,1967-08-06T00:00:00Z,6,8,1967,2659055,7682935,PRESERVED_SPECIMEN,TNS,AL,168744,,,,CC_BY_4_0,,,,,2019-09-20T20:03:39.506Z,,
1933676650,848e55dc-f762-11e1-a439-00145eb45e9a,3bb229bf-60b5-4acb-a85b-53949fc361db,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Heterosiphonia japonica Yendo,Heterosiphonia japonica Yendo,Yendo,JP,,Aomori,,,4fd82480-ea1c-11da-8db4-b8a03c50a862,,,,,,,,,1967-08-06T00:00:00Z,6,8,1967,2659055,7682935,PRESERVED_SPECIMEN,TNS,AL,168740,,,,CC_BY_4_0,,,,,2019-09-20T20:03:39.500Z,,
1933676643,848e55dc-f762-11e1-a439-00145eb45e9a,7d8a876c-7020-4e78-a9f7-341cb64ad0bd,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Heterosiphonia japonica Yendo,Heterosiphonia japonica Yendo,Yendo,JP,,Aomori,,,4fd82480-ea1c-11da-8db4-b8a03c50a862,,,,,,,,,1967-08-03T00:00:00Z,3,8,1967,2659055,7682935,PRESERVED_SPECIMEN,TNS,AL,168730,,,,CC_BY_4_0,,,,,2019-09-20T20:03:39.496Z,,
1933675005,848e55dc-f762-11e1-a439-00145eb45e9a,3fd6e930-ec82-4c77-a6c9-801d9624fbb8,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Heterosiphonia japonica Yendo,Heterosiphonia japonica Yendo,Yendo,JP,,Niigata,,,4fd82480-ea1c-11da-8db4-b8a03c50a862,,,,,,,,,2002-07-28T00:00:00Z,28,7,2002,2659055,7682935,PRESERVED_SPECIMEN,TNS,AL,166823,,,,CC_BY_4_0,,,,,2019-09-20T20:03:39.491Z,,
1933675000,848e55dc-f762-11e1-a439-00145eb45e9a,7c1aa542-6d62-4599-9ff6-8b0b55829e48,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Heterosiphonia japonica Yendo,Heterosiphonia japonica Yendo,Yendo,JP,,Iwate,,,4fd82480-ea1c-11da-8db4-b8a03c50a862,,,,,,,,,2007-04-30T00:00:00Z,30,4,2007,2659055,7682935,PRESERVED_SPECIMEN,TNS,AL,166826,,,,CC_BY_4_0,,,,,2019-09-20T20:03:39.486Z,,
1933674985,848e55dc-f762-11e1-a439-00145eb45e9a,3afe8164-9408-4c84-85b4-089de399310c,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Heterosiphonia japonica Yendo,Heterosiphonia japonica Yendo,Yendo,JP,,Niigata,,,4fd82480-ea1c-11da-8db4-b8a03c50a862,,,,,,,,,2003-03-06T00:00:00Z,6,3,2003,2659055,7682935,PRESERVED_SPECIMEN,TNS,AL,166824,,,,CC_BY_4_0,,,,,2019-09-20T20:03:39.481Z,,
1933674975,848e55dc-f762-11e1-a439-00145eb45e9a,e669a991-df58-454b-94a6-43704c305dbb,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Heterosiphonia japonica Yendo,Heterosiphonia japonica Yendo,Yendo,JP,,Kanagawa,,,4fd82480-ea1c-11da-8db4-b8a03c50a862,,,,,,,,,2001-02-23T00:00:00Z,23,2,2001,2659055,7682935,PRESERVED_SPECIMEN,TNS,AL,166825,,,,CC_BY_4_0,,,,,2019-09-20T20:03:39.476Z,,
1933674790,848e55dc-f762-11e1-a439-00145eb45e9a,65dc5559-fe75-4944-b6b1-2c0a3023e122,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Heterosiphonia japonica Yendo,Heterosiphonia japonica Yendo,Yendo,JP,,Shizuoka,,,4fd82480-ea1c-11da-8db4-b8a03c50a862,,,,,,,,,1980-04-12T00:00:00Z,12,4,1980,2659055,7682935,PRESERVED_SPECIMEN,TNS,AL,166561,,,,CC_BY_4_0,,,,,2019-09-20T20:03:39.471Z,,
1933674752,848e55dc-f762-11e1-a439-00145eb45e9a,87649d04-54e2-4ce0-a528-e5979b0ecb92,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Heterosiphonia japonica Yendo,Heterosiphonia japonica Yendo,Yendo,JP,,Kanagawa,,,4fd82480-ea1c-11da-8db4-b8a03c50a862,,,,,,,,,1968-03-03T00:00:00Z,3,3,1968,2659055,7682935,PRESERVED_SPECIMEN,TNS,AL,166549,,,,CC_BY_4_0,,,,,2019-09-20T20:03:39.465Z,,
1933674748,848e55dc-f762-11e1-a439-00145eb45e9a,50a04cfc-e571-4be0-bc39-ddbf486fb4db,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Heterosiphonia japonica Yendo,Heterosiphonia japonica Yendo,Yendo,JP,,Aomori,,,4fd82480-ea1c-11da-8db4-b8a03c50a862,,,,,,,,,1966-01-09T00:00:00Z,9,1,1966,2659055,7682935,PRESERVED_SPECIMEN,TNS,AL,166548,,,,CC_BY_4_0,,,,,2019-09-20T20:03:39.458Z,,
1933674745,848e55dc-f762-11e1-a439-00145eb45e9a,8b511e5e-ad71-4d01-b887-bbc18cc5e624,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Heterosiphonia japonica Yendo,Heterosiphonia japonica Yendo,Yendo,JP,,Shizuoka,,,4fd82480-ea1c-11da-8db4-b8a03c50a862,,,,,,,,,1980-04-12T00:00:00Z,12,4,1980,2659055,7682935,PRESERVED_SPECIMEN,TNS,AL,166559,,,,CC_BY_4_0,,,,,2019-09-20T20:03:39.451Z,,
1933674739,848e55dc-f762-11e1-a439-00145eb45e9a,93ec3fc6-eed4-49e4-9be4-d4e951f47bb7,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Heterosiphonia japonica Yendo,Heterosiphonia japonica Yendo,Yendo,JP,,Shizuoka,,,4fd82480-ea1c-11da-8db4-b8a03c50a862,,,,,,,,,1980-04-19T00:00:00Z,19,4,1980,2659055,7682935,PRESERVED_SPECIMEN,TNS,AL,166555,,,,CC_BY_4_0,,,,,2019-09-20T20:03:39.444Z,,
1933674738,848e55dc-f762-11e1-a439-00145eb45e9a,c1df0aab-d925-4815-93a4-1bffbf7d9c4c,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Heterosiphonia japonica Yendo,Heterosiphonia japonica Yendo,Yendo,JP,,Kanagawa,,,4fd82480-ea1c-11da-8db4-b8a03c50a862,,,,,,,,,1966-03-22T00:00:00Z,22,3,1966,2659055,7682935,PRESERVED_SPECIMEN,TNS,AL,166547,,,,CC_BY_4_0,,,,,2019-09-20T20:03:39.432Z,,
1933674731,848e55dc-f762-11e1-a439-00145eb45e9a,b97f6c26-823e-4187-a3cb-827534b1ee41,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Dasysiphonia,Dasysiphonia japonica,,SPECIES,Heterosiphonia japonica Yendo,Heterosiphonia japonica Yendo,Yendo,JP,,Kanagawa,,,4fd82480-ea1c-11da-8db4-b8a03c50a862,,,,,,,,,1981-02-04T00:00:00Z,4,2,1981,2659055,7682935,PRESERVED_SPECIMEN,TNS,AL,166557,,,,CC_BY_4_0,,,,,2019-09-20T20:03:39.426Z,,
